sample	species	genetic_code	accession	domain	kingdom	phylum	lifestyle	genome	cds	proteome	include
Yarrowia_lipolytica_CLIB122	Yarrowia_lipolytica_CLIB122	1	GCA_000002525.1	eukarya	Fungi	Ascomycota	unspecified_saprotroph	GCA_000002525.1*.fna	GCA_000002525.1*.fna	GCA_000002525.1*.faa	True
Schizosaccharomyces_pombe	Schizosaccharomyces_pombe	1	GCA_000002945.2	eukarya	Fungi	Ascomycota	nectar_tap_saprotroph	GCA_000002945.2*.fna	GCA_000002945.2*.fna	GCA_000002945.2*.faa	True
Postia_placenta_Mad_698_R	Postia_placenta_Mad_698_R	1	GCA_000006255.1	eukarya	Fungi	Basidiomycota	wood_saprotroph	GCA_000006255.1*.fna	GCA_000006255.1*.fna	GCA_000006255.1*.faa	True
Saccharomyces_cerevisiae_S288C	Saccharomyces_cerevisiae_S288C	1	GCA_000146045.2	eukarya	Fungi	Ascomycota	nectar_tap_saprotroph	GCA_000146045.2*.fna	GCA_000146045.2*.fna	GCA_000146045.2*.faa	True
Encephalitozoon_intestinalis_ATCC_50506	Encephalitozoon_intestinalis_ATCC_50506	1	GCA_000146465.1	eukarya	Fungi	Microsporidia	animal_parasite	GCA_000146465.1*.fna	GCA_000146465.1*.fna	GCA_000146465.1*.faa	True
Sclerotinia_sclerotiorum_1980_UF_70	Sclerotinia_sclerotiorum_1980_UF_70	1	GCA_000146945.2	eukarya	Fungi	Ascomycota	plant_pathogen	GCA_000146945.2*.fna	GCA_000146945.2*.fna	GCA_000146945.2*.faa	True
Aspergillus_nidulans_FGSC_A4	Aspergillus_nidulans_FGSC_A4	1	GCA_000149205.2	eukarya	Fungi	Ascomycota	unspecified_saprotroph	GCA_000149205.2*.fna	GCA_000149205.2*.fna	GCA_000149205.2*.faa	True
Cryptococcus_neoformans_var_grubii_H99	Cryptococcus_neoformans_var_grubii_H99	1	GCA_000149245.3	eukarya	Fungi	Basidiomycota	unspecified_saprotroph	GCA_000149245.3*.fna	GCA_000149245.3*.fna	GCA_000149245.3*.faa	True
Rhizopus_delemar_RA_99_880	Rhizopus_delemar_RA_99_880	1	GCA_000149305.1	eukarya	Fungi	Mucoromycota	soil_saprotroph	GCA_000149305.1*.fna	GCA_000149305.1*.fna	GCA_000149305.1*.faa	True
Coccidioides_immitis_RS	Coccidioides_immitis_RS	1	GCA_000149335.2	eukarya	Fungi	Ascomycota	soil_saprotroph	GCA_000149335.2*.fna	GCA_000149335.2*.fna	GCA_000149335.2*.faa	True
Schizosaccharomyces_japonicus_yFS275	Schizosaccharomyces_japonicus_yFS275	1	GCA_000149845.2	eukarya	Fungi	Ascomycota	nectar_tap_saprotroph	GCA_000149845.2*.fna	GCA_000149845.2*.fna	GCA_000149845.2*.faa	True
Puccinia_graminis_f_sp_tritici_CRL_75_36_700_3	Puccinia_graminis_f_sp_tritici_CRL_75_36_700_3	1	GCA_000149925.1	eukarya	Fungi	Basidiomycota	plant_pathogen	GCA_000149925.1*.fna	GCA_000149925.1*.fna	GCA_000149925.1*.faa	True
Verticillium_dahliae_VdLs_17	Verticillium_dahliae_VdLs_17	1	GCA_000150675.2	eukarya	Fungi	Ascomycota	plant_pathogen	GCA_000150675.2*.fna	GCA_000150675.2*.fna	GCA_000150675.2*.faa	True
Allomyces_macrogynus_ATCC_38327	Allomyces_macrogynus_ATCC_38327	1	GCA_000151295.1	eukarya	Fungi	Blastocladiomycota	soil_saprotroph	GCA_000151295.1*.fna	GCA_000151295.1*.fna	GCA_000151295.1*.faa	True
Tuber_melanosporum	Tuber_melanosporum	1	GCA_000151645.1	eukarya	Fungi	Ascomycota	ectomycorrhizal	GCA_000151645.1*.fna	GCA_000151645.1*.fna	GCA_000151645.1*.faa	True
Trichoderma_reesei_QM6a	Trichoderma_reesei_QM6a	1	GCA_000167675.2	eukarya	Fungi	Ascomycota	mycoparasite	GCA_000167675.2*.fna	GCA_000167675.2*.fna	GCA_000167675.2*.faa	True
Malassezia_globosa_CBS_7966	Malassezia_globosa_CBS_7966	1	GCA_000181695.1	eukarya	Fungi	Basidiomycota	soil_saprotroph	GCA_000181695.1*.fna	GCA_000181695.1*.fna	GCA_000181695.1*.faa	True
Spizellomyces_punctatus_DAOM_BR117	Spizellomyces_punctatus_DAOM_BR117	1	GCA_000182565.2	eukarya	Fungi	Chytridiomycota	pollen_saprotroph	GCA_000182565.2*.fna	GCA_000182565.2*.fna	GCA_000182565.2*.faa	True
Coprinopsis_cinerea_okayama7_130	Coprinopsis_cinerea_okayama7_130	1	GCA_000182895.1	eukarya	Fungi	Basidiomycota	soil_saprotroph	GCA_000182895.1*.fna	GCA_000182895.1*.fna	GCA_000182895.1*.faa	True
Neurospora_crassa_OR74A	Neurospora_crassa_OR74A	1	GCA_000182925.2	eukarya	Fungi	Ascomycota	unspecified_saprotroph	GCA_000182925.2*.fna	GCA_000182925.2*.fna	GCA_000182925.2*.faa	True
Candida_albicans_SC5314	Candida_albicans_SC5314	12	GCA_000182965.3	eukarya	Fungi	Ascomycota	nectar_tap_saprotroph	GCA_000182965.3*.fna	GCA_000182965.3*.fna	GCA_000182965.3*.faa	True
Vavraia_culicis_subsp_floridensis	Vavraia_culicis_subsp_floridensis	1	GCA_000192795.1	eukarya	Fungi	Microsporidia	animal_parasite	GCA_000192795.1*.fna	GCA_000192795.1*.fna	GCA_000192795.1*.faa	True
Batrachochytrium_dendrobatidis_JAM81	Batrachochytrium_dendrobatidis_JAM81	1	GCA_000203795.1	eukarya	Fungi	Chytridiomycota	animal_parasite	GCA_000203795.1*.fna	GCA_000203795.1*.fna	GCA_000203795.1*.faa	True
Melampsora_larici_populina_98AG31	Melampsora_larici_populina_98AG31	1	GCA_000204055.1	eukarya	Fungi	Basidiomycota	plant_pathogen	GCA_000204055.1*.fna	GCA_000204055.1*.fna	GCA_000204055.1*.faa	True
Enterocytozoon_bieneusi_H348	Enterocytozoon_bieneusi_H348	1	GCA_000209485.1	eukarya	Fungi	Microsporidia	animal_parasite	GCA_000209485.1*.fna	GCA_000209485.1*.fna	GCA_000209485.1*.faa	True
Serpula_lacrymans_var_lacrymans_S7_9	Serpula_lacrymans_var_lacrymans_S7_9	1	GCA_000218685.1	eukarya	Fungi	Basidiomycota	wood_saprotroph	GCA_000218685.1*.fna	GCA_000218685.1*.fna	GCA_000218685.1*.faa	True
Zymoseptoria_tritici_IPO323	Zymoseptoria_tritici_IPO323	1	GCA_000219625.1	eukarya	Fungi	Ascomycota	plant_pathogen	GCA_000219625.1*.fna	GCA_000219625.1*.fna	GCA_000219625.1*.faa	True
Arthrobotrys_oligospora_ATCC_24927	Arthrobotrys_oligospora_ATCC_24927	1	GCA_000225545.1	eukarya	Fungi	Ascomycota	animal_parasite	GCA_000225545.1*.fna	GCA_000225545.1*.fna	GCA_000225545.1*.faa	True
Edhazardia_aedis_USNM_41457	Edhazardia_aedis_USNM_41457	1	GCA_000230595.3	eukarya	Fungi	Microsporidia	animal_parasite	GCA_000230595.3*.fna	GCA_000230595.3*.fna	GCA_000230595.3*.faa	True
