sample	species	genetic_code	accession	domain	kingdom	phylum	lifestyle	genome	cds	include
Ylipolytica	Yarrowia_lipolytica	1	GCA_000002525.1	eukarya	Fungi	Ascomycota	unspecified_saprotroph	GCA_000002525.1_ASM252v1_genomic.fna	GCA_000002525.1cds_from_genomic.fna	1
Spombe	Schizosaccharomyces_pombe	1	GCA_000002945.2	eukarya	Fungi	Ascomycota	nectar_tap_saprotroph	GCA_000002945.2_ASM294v2_genomic.fna	GCA_000002945.2cds_from_genomic.fna	1
Pplacenta	Postia_placenta	1	GCA_000006255.1	eukarya	Fungi	Basidiomycota	wood_saprotroph	GCA_000006255.1_Postia_placenta_V1.0_genomic.fna	GCA_000006255.1cds_from_genomic.fna	1
Scerevisiae	Saccharomyces_cerevisiae	1	GCA_000146045.2	eukarya	Fungi	Ascomycota	nectar_tap_saprotroph	GCA_000146045.2_R64_genomic.fna	GCA_000146045.2cds_from_genomic.fna	1
Eintestinalis	Encephalitozoon_intestinalis	1	GCA_000146465.1	eukarya	Fungi	Microsporidia	animal_parasite	GCA_000146465.1_ASM14646v1_genomic.fna	GCA_000146465.1cds_from_genomic.fna	1
Ssclerotiorum	Sclerotinia_sclerotiorum	1	GCA_000146945.2	eukarya	Fungi	Ascomycota	plant_pathogen	GCA_000146945.2_ASM14694v2_genomic.fna	GCA_000146945.2cds_from_genomic.fna	1
Anidulans	Aspergillus_nidulans	1	GCA_000149205.2	eukarya	Fungi	Ascomycota	unspecified_saprotroph	GCA_000149205.2_ASM14920v2_genomic.fna	GCA_000149205.2cds_from_genomic.fna	1
Cneoformans	Cryptococcus_neoformans	1	GCA_000149245.3	eukarya	Fungi	Basidiomycota	unspecified_saprotroph	GCA_000149245.3_CNA3_genomic.fna	GCA_000149245.3cds_from_genomic.fna	1
Rdelemar	Rhizopus_delemar	1	GCA_000149305.1	eukarya	Fungi	Mucoromycota	soil_saprotroph	GCA_000149305.1_RO3_genomic.fna	GCA_000149305.1cds_from_genomic.fna	1
Cimmitis	Coccidioides_immitis	1	GCA_000149335.2	eukarya	Fungi	Ascomycota	soil_saprotroph	GCA_000149335.2_ASM14933v2_genomic.fna	GCA_000149335.2cds_from_genomic.fna	1
Sjaponicus	Schizosaccharomyces_japonicus	1	GCA_000149845.2	eukarya	Fungi	Ascomycota	nectar_tap_saprotroph	GCA_000149845.2_SJ5_genomic.fna	GCA_000149845.2cds_from_genomic.fna	1
Pgraminis	Puccinia_graminis	1	GCA_000149925.1	eukarya	Fungi	Basidiomycota	plant_pathogen	GCA_000149925.1_ASM14992v1_genomic.fna	GCA_000149925.1cds_from_genomic.fna	1
Vdahliae	Verticillium_dahliae	1	GCA_000150675.2	eukarya	Fungi	Ascomycota	plant_pathogen	GCA_000150675.2_ASM15067v2_genomic.fna	GCA_000150675.2cds_from_genomic.fna	1
Amacrogynus	Allomyces_macrogynus	1	GCA_000151295.1	eukarya	Fungi	Blastocladiomycota	soil_saprotroph	GCA_000151295.1_A_macrogynus_V3_genomic.fna	GCA_000151295.1cds_from_genomic.fna	1
Tmelanosporum	Tuber_melanosporum	1	GCA_000151645.1	eukarya	Fungi	Ascomycota	ectomycorrhizal	GCA_000151645.1_ASM15164v1_genomic.fna	GCA_000151645.1cds_from_genomic.fna	1
Treesei	Trichoderma_reesei	1	GCA_000167675.2	eukarya	Fungi	Ascomycota	mycoparasite	GCA_000167675.2_v2.0_genomic.fna	GCA_000167675.2cds_from_genomic.fna	1
Mglobosa	Malassezia_globosa	1	GCA_000181695.1	eukarya	Fungi	Basidiomycota	soil_saprotroph	GCA_000181695.1_ASM18169v1_genomic.fna	GCA_000181695.1cds_from_genomic.fna	1
Spunctatus	Spizellomyces_punctatus	1	GCA_000182565.2	eukarya	Fungi	Chytridiomycota	pollen_saprotroph	GCA_000182565.2_S_punctatus_V1_genomic.fna	GCA_000182565.2cds_from_genomic.fna	1
Ccinerea	Coprinopsis_cinerea	1	GCA_000182895.1	eukarya	Fungi	Basidiomycota	soil_saprotroph	GCA_000182895.1_CC3_genomic.fna	GCA_000182895.1cds_from_genomic.fna	1
Ncrassa	Neurospora_crassa	1	GCA_000182925.2	eukarya	Fungi	Ascomycota	unspecified_saprotroph	GCA_000182925.2_NC12_genomic.fna	GCA_000182925.2cds_from_genomic.fna	1
Calbicans	Candida_albicans	12	GCA_000182965.3	eukarya	Fungi	Ascomycota	nectar_tap_saprotroph	GCA_000182965.3_ASM18296v3_genomic.fna	GCA_000182965.3cds_from_genomic.fna	1
Vculicis	Vavraia_culicis	1	GCA_000192795.1	eukarya	Fungi	Microsporidia	animal_parasite	GCA_000192795.1_Vavr_culi_floridensis_V1_genomic.fna	GCA_000192795.1cds_from_genomic.fna	1
Bdendrobatidis	Batrachochytrium_dendrobatidis	1	GCA_000203795.1	eukarya	Fungi	Chytridiomycota	animal_parasite	GCA_000203795.1_v1.0_genomic.fna	GCA_000203795.1cds_from_genomic.fna	1
Mlarici-populina	Melampsora_larici-populina	1	GCA_000204055.1	eukarya	Fungi	Basidiomycota	plant_pathogen	GCA_000204055.1_v1.0_genomic.fna	GCA_000204055.1cds_from_genomic.fna	1
Ebieneusi	Enterocytozoon_bieneusi	1	GCA_000209485.1	eukarya	Fungi	Microsporidia	animal_parasite	GCA_000209485.1_ASM20948v1_genomic.fna	GCA_000209485.1cds_from_genomic.fna	1
Slacrymans	Serpula_lacrymans	1	GCA_000218685.1	eukarya	Fungi	Basidiomycota	wood_saprotroph	GCA_000218685.1_v1.0_genomic.fna	GCA_000218685.1cds_from_genomic.fna	1
Ztritici	Zymoseptoria_tritici	1	GCA_000219625.1	eukarya	Fungi	Ascomycota	plant_pathogen	GCA_000219625.1_MYCGR_v2.0_genomic.fna	GCA_000219625.1cds_from_genomic.fna	1
Aoligospora	Arthrobotrys_oligospora	1	GCA_000225545.1	eukarya	Fungi	Ascomycota	animal_parasite	GCA_000225545.1_AOL24927_1.0_genomic.fna	GCA_000225545.1cds_from_genomic.fna	1
Eaedis	Edhazardia_aedis	1	GCA_000230595.3	eukarya	Fungi	Microsporidia	animal_parasite	GCA_000230595.3_Edha_aedis_V4b_genomic.fna	GCA_000230595.3cds_from_genomic.fna	1
Edermatitidis	Exophiala_dermatitidis	1	GCA_000230625.1	eukarya	Fungi	Ascomycota	animal_parasite	GCA_000230625.1_Exop_derm_V1_genomic.fna	GCA_000230625.1cds_from_genomic.fna	1
Vcorneae	Vittaforma_corneae	1	GCA_000231115.1	eukarya	Fungi	Microsporidia	animal_parasite	GCA_000231115.1_Vitt_corn_V1_genomic.fna	GCA_000231115.1cds_from_genomic.fna	1
Nparisii	Nematocida_parisii	1	GCA_000250985.1	eukarya	Fungi	Microsporidia	animal_parasite	GCA_000250985.1_Nema_parisii_ERTm1_V3_genomic.fna	GCA_000250985.1cds_from_genomic.fna	1
Ehellem	Encephalitozoon_hellem	1	GCA_000277815.3	eukarya	Fungi	Microsporidia	animal_parasite	GCA_000277815.3_ASM27781v3_genomic.fna	GCA_000277815.3cds_from_genomic.fna	1
Eromaleae	Encephalitozoon_romaleae	1	GCA_000280035.2	eukarya	Fungi	Microsporidia	animal_parasite	GCA_000280035.2_ASM28003v2_genomic.fna	GCA_000280035.2cds_from_genomic.fna	1
Dprimogenitus	Dacryopinax_primogenitus	1	GCA_000292625.1	eukarya	Fungi	Basidiomycota	wood_saprotroph	GCA_000292625.1_Dacryopinax_sp._DJM_731_SSP1_v1.0_genomic.fna	GCA_000292625.1cds_from_genomic.fna	1
Thominis	Trachipleistophora_hominis	1	GCA_000316135.1	eukarya	Fungi	Microsporidia	animal_parasite	GCA_000316135.1_ASM31613v1_genomic.fna	GCA_000316135.1cds_from_genomic.fna	1
Umaydis	Ustilago_maydis	1	GCA_000328475.2	eukarya	Fungi	Basidiomycota	plant_pathogen	GCA_000328475.2_Umaydis521_2.0_genomic.fna	GCA_000328475.2cds_from_genomic.fna	1
Nbombycis	Nosema_bombycis	1	GCA_000383075.1	eukarya	Fungi	Microsporidia	animal_parasite	GCA_000383075.1_NosBomCQ1_v1.0_genomic.fna	GCA_000383075.1cds_from_genomic.fna	1
Aalgerae	Anncaliia_algerae	1	GCA_000385875.2	eukarya	Fungi	Microsporidia	animal_parasite	GCA_000385875.2_Annc_alge_insect_USDA_JJB_V2_genomic.fna	GCA_000385875.2cds_from_genomic.fna	1
Wichthyophaga	Wallemia_ichthyophaga	1	GCA_000400465.1	eukarya	Fungi	Basidiomycota	unspecified_saprotroph	GCA_000400465.1_Wallemia_ichthyophaga_version_1.0_genomic.fna	GCA_000400465.1cds_from_genomic.fna	1
Rirregularis	Rhizophagus_irregularis	1	GCA_000439145.3	eukarya	Fungi	Glomeromycota	arbuscular_mycorrhizal	GCA_000439145.3_ASM43914v3_genomic.fna	GCA_000439145.3cds_from_genomic.fna	1
Rallomycis	Rozella_allomycis	1	GCA_000442015.1	eukarya	Fungi	Rozellomycota	mycoparasite	GCA_000442015.1_Rozella_k41_t100_genomic.fna	GCA_000442015.1cds_from_genomic.fna	1
Napis	Nosema_apis	1	GCA_000447185.1	eukarya	Fungi	Microsporidia	animal_parasite	GCA_000447185.1_NapisBRLv01_genomic.fna	GCA_000447185.1cds_from_genomic.fna	1
Mosmundae	Mixia_osmundae	1	GCA_000708205.1	eukarya	Fungi	Basidiomycota	plant_pathogen	GCA_000708205.1_Mixia_osmundae_v1.0_genomic.fna	GCA_000708205.1cds_from_genomic.fna	1
Tanomala	Tilletiaria_anomala	1	GCA_000711695.1	eukarya	Fungi	Basidiomycota	wood_saprotroph	GCA_000711695.1_Tilletiaria_anomala_UBC_951_v1.0_genomic.fna	GCA_000711695.1cds_from_genomic.fna	1
Nsp_GCA000738915_1	Nematocida_sp	1	GCA_000738915.1	eukarya	Fungi	Microsporidia	animal_parasite	GCA_000738915.1_Nema_sp_1_ERTm6_V2_genomic.fna	GCA_000738915.1cds_from_genomic.fna	1
Pverticillata	Podila_verticillata	1	GCA_000739165.1	eukarya	Fungi	Mortierellomycota	soil_saprotroph	GCA_000739165.1_Mort_vert_NRRL_6337_V1_genomic.fna	GCA_000739165.1cds_from_genomic.fna	1
Mdaphniae	Mitosporidium_daphniae	1	GCA_000760515.2	eukarya	Fungi	Microsporidia	animal_parasite	GCA_000760515.2_UGP1.1_genomic.fna	GCA_000760515.2cds_from_genomic.fna	1
Ocolligata	Ordospora_colligata	1	GCA_000803265.1	eukarya	Fungi	Microsporidia	animal_parasite	GCA_000803265.1_ASM80326v1_genomic.fna	GCA_000803265.1cds_from_genomic.fna	1
Amuscaria	Amanita_muscaria	1	GCA_000827485.1	eukarya	Fungi	Basidiomycota	ectomycorrhizal	GCA_000827485.1_Amanita_muscaria_Koide_BX008_v1.0_genomic.fna	GCA_000827485.1cds_from_genomic.fna	1
Pparasitica	Parasitella_parasitica	1	GCA_000938895.1	eukarya	Fungi	Mucoromycota	mycoparasite	GCA_000938895.1_PP.v1_genomic.fna	GCA_000938895.1cds_from_genomic.fna	1
Mambiguus	Mucor_ambiguus	1	GCA_000950595.1	eukarya	Fungi	Mucoromycota	soil_saprotroph	GCA_000950595.1_ASM95059v1_genomic.fna	GCA_000950595.1cds_from_genomic.fna	1
Nceranae	Nosema_ceranae	1	GCA_000988165.1	eukarya	Fungi	Microsporidia	animal_parasite	GCA_000988165.1_ASM98816v1_genomic.fna	GCA_000988165.1cds_from_genomic.fna	1
Pneurophilia	Pseudoloma_neurophilia	1	GCA_001432165.1	eukarya	Fungi	Microsporidia	animal_parasite	GCA_001432165.1_ASM143216v1_genomic.fna	GCA_001432165.1cds_from_genomic.fna	1
Pcarinii	Pneumocystis_carinii	1	GCA_001477545.1	eukarya	Fungi	Ascomycota	animal_parasite	GCA_001477545.1_Pneu_cari_B80_V3_genomic.fna	GCA_001477545.1cds_from_genomic.fna	1
Ccoronatus	Conidiobolus_coronatus	1	GCA_001566745.1	eukarya	Fungi	Entomophthoromycota	animal_parasite	GCA_001566745.1_Conidiobolus_coronatus_NRRL28638_genomic.fna	GCA_001566745.1cds_from_genomic.fna	1
Gprolifera	Gonapodya_prolifera	1	GCA_001574975.1	eukarya	Fungi	Monoblepharomycota	litter_saprotroph	GCA_001574975.1_Ganpr1_genomic.fna	GCA_001574975.1cds_from_genomic.fna	1
Pblakesleeanus	Phycomyces_blakesleeanus	1	GCA_001638985.2	eukarya	Fungi	Mucoromycota	dung_saprotroph	GCA_001638985.2_Phybl2_genomic.fna	GCA_001638985.2cds_from_genomic.fna	1
Ndisplodere	Nematocida_displodere	1	GCA_001642395.1	eukarya	Fungi	Microsporidia	animal_parasite	GCA_001642395.1_ASM164239v1_genomic.fna	GCA_001642395.1cds_from_genomic.fna	1
Nsp_GCA001642415_1	Nematocida_sp	1	GCA_001642415.1	eukarya	Fungi	Microsporidia	animal_parasite	GCA_001642415.1_ASM164241v1_genomic.fna	GCA_001642415.1cds_from_genomic.fna	1
Lelongata	Linnemannia_elongata	1	GCA_001651415.1	eukarya	Fungi	Mortierellomycota	soil_saprotroph	GCA_001651415.1_Mortierella_elongata_AG-77_v2.0_genomic.fna	GCA_001651415.1cds_from_genomic.fna	1
Ccucurbitarum	Choanephora_cucurbitarum	1	GCA_001683725.1	eukarya	Fungi	Mucoromycota	litter_saprotroph	GCA_001683725.1_ASM168372v1_genomic.fna	GCA_001683725.1cds_from_genomic.fna	1
Asp_GCA001875675_1	Amphiamblys_sp	1	GCA_001875675.1	eukarya	Fungi	Microsporidia	protistan_parasite	GCA_001875675.1_ASM187567v1_genomic.fna	GCA_001875675.1cds_from_genomic.fna	1
Nirregularis	Neolecta_irregularis	1	GCA_001929475.1	eukarya	Fungi	Ascomycota	plant_pathogen	GCA_001929475.1_NeoIirr1.0_genomic.fna	GCA_001929475.1cds_from_genomic.fna	1
Smucronatum	Smittium_mucronatum	1	GCA_001953115.1	eukarya	Fungi	Kickxellomycota	animal_endosymbiont	GCA_001953115.1_ASM195311v1_genomic.fna	GCA_001953115.1cds_from_genomic.fna	1
Zculisetae	Zancudomyces_culisetae	1	GCA_001969505.1	eukarya	Fungi	Kickxellomycota	animal_endosymbiont	GCA_001969505.1_ASM196950v1_genomic.fna	GCA_001969505.1cds_from_genomic.fna	1
Sculicis	Smittium_culicis	1	GCA_001970855.1	eukarya	Fungi	Kickxellomycota	animal_endosymbiont	GCA_001970855.1_ASM197085v1_genomic.fna	GCA_001970855.1cds_from_genomic.fna	1
Ehepatopenaei	Enterocytozoon_hepatopenaei	1	GCA_002081675.1	eukarya	Fungi	Microsporidia	animal_parasite	GCA_002081675.1_ASM208167v1_genomic.fna	GCA_002081675.1cds_from_genomic.fna	1
Heriocheir	Hepatospora_eriocheir	1	GCA_002087885.1	eukarya	Fungi	Microsporidia	animal_parasite	GCA_002087885.1_ASM208788v1_genomic.fna	GCA_002087885.1cds_from_genomic.fna	1
Ecanceri	Enterospora_canceri	1	GCA_002087915.1	eukarya	Fungi	Microsporidia	animal_parasite	GCA_002087915.1_ASM208791v1_genomic.fna	GCA_002087915.1cds_from_genomic.fna	1
Canguillulae	Catenaria_anguillulae	1	GCA_002102555.1	eukarya	Fungi	Blastocladiomycota	animal_parasite	GCA_002102555.1_Catan2_genomic.fna	GCA_002102555.1cds_from_genomic.fna	1
Arobustus	Anaeromyces_robustus	1	GCA_002104895.1	eukarya	Fungi	Neocallimastigomycota	animal_endosymbiont	GCA_002104895.1_Anaeromyces_sp._S4_v1.0_genomic.fna	GCA_002104895.1cds_from_genomic.fna	1
Bmeristosporus	Basidiobolus_meristosporus	1	GCA_002104905.1	eukarya	Fungi	Basidiobolomycota	unspecified_saprotroph	GCA_002104905.1_Basme2finSC_genomic.fna	GCA_002104905.1cds_from_genomic.fna	1
Hvesiculosa	Hesseltinella_vesiculosa	1	GCA_002104935.1	eukarya	Fungi	Mucoromycota	soil_saprotroph	GCA_002104935.1_Hesve2_genomic.fna	GCA_002104935.1cds_from_genomic.fna	1
Pfinnis	Piromyces_finnis	1	GCA_002104945.1	eukarya	Fungi	Neocallimastigomycota	animal_endosymbiont	GCA_002104945.1_Piromyces_sp._finnis_v3.0_genomic.fna	GCA_002104945.1cds_from_genomic.fna	1
Ncaliforniae	Neocallimastix_californiae	1	GCA_002104975.1	eukarya	Fungi	Neocallimastigomycota	animal_endosymbiont	GCA_002104975.1_Neocallimastix_sp._G1_v1.0_genomic.fna	GCA_002104975.1cds_from_genomic.fna	1
Rglobosum	Rhizoclosmatium_globosum	1	GCA_002104985.1	eukarya	Fungi	Chytridiomycota	litter_saprotroph	GCA_002104985.1_Rhihy1_genomic.fna	GCA_002104985.1cds_from_genomic.fna	1
Lpennispora	Linderina_pennispora	1	GCA_002104995.1	eukarya	Fungi	Kickxellomycota	soil_saprotroph	GCA_002104995.1_Linpe1_genomic.fna	GCA_002104995.1cds_from_genomic.fna	1
Sracemosum	Syncephalastrum_racemosum	1	GCA_002105135.1	eukarya	Fungi	Mucoromycota	soil_saprotroph	GCA_002105135.1_Synrac1_genomic.fna	GCA_002105135.1cds_from_genomic.fna	1
Ltransversale	Lobosporangium_transversale	1	GCA_002105155.1	eukarya	Fungi	Mortierellomycota	soil_saprotroph	GCA_002105155.1_Lobtra1_genomic.fna	GCA_002105155.1cds_from_genomic.fna	1
Arepens	Absidia_repens	1	GCA_002105175.1	eukarya	Fungi	Mucoromycota	soil_saprotroph	GCA_002105175.1_Absrep1_genomic.fna	GCA_002105175.1cds_from_genomic.fna	1
Psp	Piromyces_sp	1	GCA_002157105.1	eukarya	Fungi	Neocallimastigomycota	animal_endosymbiont	GCA_002157105.1_PirspE2_v1.0_genomic.fna	GCA_002157105.1cds_from_genomic.fna	1
Badelaidae	Bifiguratus_adelaidae	1	GCA_002261195.1	eukarya	Fungi	Mucoromycota	soil_saprotroph	GCA_002261195.1_ASM226119v1_genomic.fna	GCA_002261195.1cds_from_genomic.fna	1
Creversa	Coemansia_reversa	1	GCA_002705745.1	eukarya	Fungi	Kickxellomycota	soil_saprotroph	GCA_002705745.1_Coere1_genomic.fna	GCA_002705745.1cds_from_genomic.fna	1
