seq_id	ENC	CAI	FOP	GC	GC3s	tAI
lcl|LR898468.1_cds_CAD6498643.1_1 [protein_id=CAD6498643.1] [location=34907..35059] [gbkey=CDS]	50.498677165483606	0.7859491923365274	0.25	0.4421768707482993	0.5	0.2509528916592452
lcl|LR898468.1_cds_CAD6498644.1_2 [protein_id=CAD6498644.1] [location=43083..43166] [gbkey=CDS]	52.09242001960323	0.8342934997901983	0.34615384615384615	0.44871794871794873	0.38461538461538464	0.2153617808170356
lcl|LR898468.1_cds_CAD6498645.1_3 [protein_id=CAD6498645.1] [location=43227..43295] [gbkey=CDS]	52.71823909693724	0.8388087475190887	0.14285714285714285	0.3968253968253968	0.38095238095238093	0.2746198525165369
lcl|LR898468.1_cds_CAD6498646.1_4 [protein_id=CAD6498646.1] [location=complement(join(44642..44769,44816..45047))] [gbkey=CDS]	50.32769411417784	0.8394236064405749	0.4482758620689655	0.3728813559322034	0.27586206896551724	0.24743312515063726
lcl|LR898468.1_cds_CAD6498647.1_5 [protein_id=CAD6498647.1] [location=73031..73303] [gbkey=CDS]	54.13504780409942	0.795830761292337	0.29545454545454547	0.45318352059925093	0.3977272727272727	0.25239939890860663
lcl|LR898468.1_cds_CAD6498648.1_6 [protein_id=CAD6498648.1] [location=complement(join(87210..87380,87516..87739,87850..89083))] [gbkey=CDS]	57.536726272739955	0.798256511876342	0.3057692307692308	0.4448552064078866	0.425	0.2476174798066348
lcl|LR898468.1_cds_CAD6498649.1_7 [protein_id=CAD6498649.1] [location=101323..101559] [gbkey=CDS]	55.26535422383946	0.7796505110395205	0.2222222222222222	0.47619047619047616	0.4861111111111111	0.2494868630489191
lcl|LR898468.1_cds_CAD6498650.1_8 [protein_id=CAD6498650.1] [location=102174..102974] [gbkey=CDS]	55.30928935389448	0.8119007887839107	0.3333333333333333	0.4578616352201258	0.43137254901960786	0.2520549296410626
lcl|LR898468.1_cds_CAD6498651.1_9 [protein_id=CAD6498651.1] [location=complement(join(151713..151855,151907..152147))] [gbkey=CDS]	51.058467732226454	0.8337632647607578	0.3252032520325203	0.3968253968253968	0.2845528455284553	0.22951628665316265
lcl|LR898468.1_cds_CAD6498652.1_10 [protein_id=CAD6498652.1] [location=complement(join(176709..178298,178342..178857,178904..178966,179014..179901))] [gbkey=CDS]	53.39951759734178	0.831935791732464	0.3890020366598778	0.42084562438544737	0.3340122199592668	0.24345651498235427
lcl|LR898468.1_cds_CAD6498653.1_11 [protein_id=CAD6498653.1] [location=complement(join(184082..184156,184211..184830,184944..185238))] [gbkey=CDS]	51.707271156043866	0.8377653917757031	0.3625	0.43597560975609756	0.325	0.2458106818060098
lcl|LR898468.1_cds_CAD6498654.1_12 [protein_id=CAD6498654.1] [location=186019..188424] [gbkey=CDS]	55.360481196500544	0.8232393781206995	0.39152759948652116	0.42583333333333334	0.34403080872913994	0.24726451318679205
lcl|LR898468.1_cds_CAD6498655.1_13 [protein_id=CAD6498655.1] [location=complement(193845..193988)] [gbkey=CDS]	51.892997688920765	0.8565935182356058	0.4222222222222222	0.3695652173913043	0.26666666666666666	0.2592218729671251
lcl|LR898468.1_cds_CAD6498656.1_14 [protein_id=CAD6498656.1] [location=complement(join(207958..208298,208351..208477))] [gbkey=CDS]	54.022196571917924	0.7873228066946876	0.26973684210526316	0.4805194805194805	0.4342105263157895	0.2412444629644232
lcl|LR898468.1_cds_CAD6498657.1_15 [protein_id=CAD6498657.1] [location=complement(join(209170..210053,210105..210209,210270..210559,210661..210868,210946..211225))] [gbkey=CDS]	55.55682572437935	0.8051214117556728	0.28063943161634103	0.4684838160136286	0.38188277087033745	0.2530253085395714
lcl|LR898468.1_cds_CAD6498659.1_17 [protein_id=CAD6498659.1] [location=join(306403..306658,306723..307034,307086..307183)] [gbkey=CDS]	51.703369576216204	0.8275838082912674	0.4084507042253521	0.403030303030303	0.37089201877934275	0.25881859644732214
lcl|LR898468.1_cds_CAD6498660.1_18 [protein_id=CAD6498660.1] [location=join(338018..338273,338338..338649,338701..338798)] [gbkey=CDS]	51.96882871538659	0.8264145387631417	0.39906103286384975	0.403030303030303	0.37089201877934275	0.25881859644732214
lcl|LR898468.1_cds_CAD6498661.1_19 [protein_id=CAD6498661.1] [location=join(370823..371095,371147..371237,371287..371670,371718..372160)] [gbkey=CDS]	55.2501548670765	0.8063630616347364	0.28225806451612906	0.42953586497890295	0.40591397849462363	0.2387423644708104
lcl|LR898468.1_cds_CAD6498662.1_20 [protein_id=CAD6498662.1] [location=join(372728..372765,372814..374035)] [gbkey=CDS]	57.444918405627725	0.7843404806646452	0.3195121951219512	0.44417862838915473	0.4292682926829268	0.24347964452365484
lcl|LR898468.1_cds_CAD6498663.1_21 [protein_id=CAD6498663.1] [location=complement(join(377540..378289,378730..378981))] [gbkey=CDS]	53.90857659788803	0.8002470922711994	0.2950310559006211	0.4387550200803213	0.40372670807453415	0.24837436686867273
lcl|LR898468.1_cds_CAD6498664.1_22 [protein_id=CAD6498664.1] [location=complement(join(387129..387247,387481..387739))] [gbkey=CDS]	53.471889742619425	0.8011027789577019	0.2786885245901639	0.4381720430107527	0.4344262295081967	0.24325132327263027
lcl|LR898468.1_cds_CAD6498665.1_23 [protein_id=CAD6498665.1] [location=complement(join(392120..392869,393310..393561))] [gbkey=CDS]	53.90857659788803	0.8002470922711994	0.2950310559006211	0.4387550200803213	0.40372670807453415	0.24837436686867273
lcl|LR898468.1_cds_CAD6498666.1_24 [protein_id=CAD6498666.1] [location=complement(join(401709..401827,402061..402319))] [gbkey=CDS]	53.471889742619425	0.8011027789577019	0.2786885245901639	0.4381720430107527	0.4344262295081967	0.24325132327263027
lcl|LR898468.1_cds_CAD6498667.1_25 [protein_id=CAD6498667.1] [location=complement(join(406700..407449,407890..408141))] [gbkey=CDS]	53.90857659788803	0.8002470922711994	0.2950310559006211	0.4387550200803213	0.40372670807453415	0.24837436686867273
lcl|LR898468.1_cds_CAD6498668.1_26 [protein_id=CAD6498668.1] [location=complement(join(416289..416407,416641..416899))] [gbkey=CDS]	53.264717774064216	0.8031576685648891	0.2786885245901639	0.44086021505376344	0.4344262295081967	0.24325132327263027
lcl|LR898468.1_cds_CAD6498669.1_27 [protein_id=CAD6498669.1] [location=complement(join(421280..422029,422470..422721))] [gbkey=CDS]	53.90857659788803	0.8002470922711994	0.2950310559006211	0.4387550200803213	0.40372670807453415	0.24837436686867273
lcl|LR898468.1_cds_CAD6498670.1_28 [protein_id=CAD6498670.1] [location=complement(join(430869..430987,431221..431479))] [gbkey=CDS]	53.906075473987315	0.7990850806302014	0.2786885245901639	0.44086021505376344	0.4344262295081967	0.24682508734665812
lcl|LR898468.1_cds_CAD6498671.1_29 [protein_id=CAD6498671.1] [location=join(442397..442428,442483..442754,442810..445889)] [gbkey=CDS]	54.597372262199805	0.8216169990226004	0.31981566820276497	0.43901716992303136	0.3474654377880184	0.2480557369201453
lcl|LR898468.1_cds_CAD6498672.1_30 [protein_id=CAD6498672.1] [location=complement(447299..448363)] [gbkey=CDS]	54.72331809193973	0.7679185735448565	0.22321428571428573	0.5269121813031161	0.5178571428571429	0.2545904583170015
