Assembly Accession	Organism Name	Organism Taxonomic ID
GCA_900079185.1	Absidia glauca	4829
GCA_002105175.1	Absidia repens	90262
GCA_016098155.1	Actinomortierella ambigua	1343610
GCA_016098105.1	Actinomortierella wolfii	90253
GCA_000151295.1	Allomyces macrogynus ATCC 38327	578462
GCA_000827485.1	Amanita muscaria Koide BX008	946122
GCA_001875675.1	Amphiamblys sp. WSBS2006	1866961
GCA_002104895.1	Anaeromyces robustus	1754192
GCA_000385875.2	Anncaliia algerae PRA339	1288291
GCA_014839865.1	Apophysomyces ossiformis	679940
GCA_016097715.1	Apophysomyces sp. BC1015	2184030
GCA_016097735.1	Apophysomyces sp. BC1021	2184031
GCA_016097755.1	Apophysomyces sp. BC1034	2184029
GCA_012184315.1	Arthrobotrys entomopaga	321852
GCA_000149205.2	Aspergillus nidulans FGSC A4	227321
GCA_014805555.1	Astathelohania contejeani	164912
GCA_019456465.1	Bacidia gigantensis	2732470
GCA_002104905.1	Basidiobolus meristosporus CBS 931.73	1314790
GCA_000203795.1	Batrachochytrium dendrobatidis JAM81	684364
GCA_002261195.1	Bifiguratus adelaidae	1938954
GCA_905067625.1	Blumeria graminis f. sp. triticale	1689686
GCA_003614705.1	Blyttiomyces helicus	388810
GCA_000182965.3	Candida albicans SC5314	237561
GCA_002102555.1	Catenaria anguillulae PL171	765915
GCA_003615045.1	Caulochytrium protostelioides	1555241
GCA_001683725.1	Choanephora cucurbitarum	101091
GCA_006535975.1	Chytriomyces confervae	246404
GCA_016758965.1	Circinella minor	1195481
GCA_000149335.2	Coccidioides immitis RS	246410
GCA_002705745.1	Coemansia reversa NRRL 1564	763665
GCA_001566745.1	Conidiobolus coronatus NRRL 28638	796925
GCA_000182895.1	Coprinopsis cinerea okayama7#130	240176
GCA_000149245.3	Cryptococcus neoformans H99	235443
GCA_014805705.1	Cucumispora dikerogammari	658444
GCA_000292625.1	Dacryopinax primogenitus	1858805
GCA_016256075.1	Dictyocoela muelleri	279532
GCA_016255985.1	Dictyocoela roeselum	288439
GCA_003614675.1	Dimargaris cristalligena	215637
GCA_016097935.1	Dissophora globulifera	979702
GCA_015499975.1	Dissophora ornata	979620
GCA_003547095.1	Diversispora epigaea	1348612
GCA_002081675.1	Ecytonucleospora hepatopenaei	646526
GCA_000230595.3	Edhazardia aedis USNM 41457	1003232
GCA_000277815.3	Encephalitozoon hellem ATCC 50504	907965
GCA_000146465.1	Encephalitozoon intestinalis ATCC 50506	876142
GCA_000280035.2	Encephalitozoon romaleae SJ-2008	1178016
GCA_003990785.1	Endogone sp. FLAS-F59071	2340872
GCA_000209485.1	Enterocytozoon bieneusi H348	481877
GCA_002087915.1	Enterospora canceri	1081671
GCA_014839935.1	Entomophthora muscae	34485
GCA_015679585.1	Entomortierella beljakovae	979673
GCA_015849335.1	Entomortierella chlamydospora	101097
GCA_015500005.1	Entomortierella lignicola	979712
GCA_000230625.1	Exophiala dermatitidis NIH/UT8656	858893
GCA_003086725.1	Furculomyces boomerangus	61424
GCA_016098015.1	Gamsiella multidivaricata	101098
GCA_016748015.1	Geosiphon pyriformis	50956
GCA_009809945.1	Gigaspora margarita	4874
GCA_003550325.1	Gigaspora rosea	44941
GCA_003550305.1	Glomus cerebriforme	658196
GCA_001574975.1	Gonapodya prolifera JEL478	1344416
GCA_015852425.1	Gryganskiella cystojenkinii	979690
GCA_004325065.1	Hamiltosporidium magnivora	148818
GCA_004325075.1	Hamiltosporidium tvaerminnensis	1176355
GCA_015500155.1	Haplosporangium bisporale	1897645
GCA_015499985.1	Haplosporangium gracile	2779863
GCA_015529505.1	Haplosporangium sp. Z 11	1897648
GCA_015529795.1	Haplosporangium sp. Z 27	1897644
GCA_015529515.1	Haplosporangium sp. Z 767	1897647
GCA_002087885.1	Hepatospora eriocheir	1081669
GCA_002104935.1	Hesseltinella vesiculosa	101127
GCA_003990745.1	Jimgerdemannia flammicorona	994334
GCA_002104995.1	Linderina pennispora	61395
GCA_001651415.1	Linnemannia elongata AG-77	1314771
GCA_016097895.1	Linnemannia exigua	604196
GCA_016097855.1	Linnemannia gamsii	64522
GCA_019671135.1	Linnemannia hyalina	64524
GCA_015502505.1	Linnemannia schmuckeri	64567
GCA_015847235.1	Linnemannia zychae	979765
GCA_002105155.1	Lobosporangium transversale	64571
GCA_015680635.1	Lunasporangiospora selenospora	979761
GCA_000181695.1	Malassezia globosa CBS 7966	425265
GCA_000204055.1	Melampsora larici-populina 98AG31	747676
GCA_000760515.2	Mitosporidium daphniae	1485682
GCA_000708205.1	Mixia osmundae IAM 14324	764103
GCA_015849295.1	Modicella reniformis	1440133
GCA_015849325.1	Mortierella antarctica	979670
GCA_015680625.1	Mortierella hygrophila	979708
GCA_016098165.1	Mortierella polycephala	41804
GCA_015502465.1	Mortierella sp. 14UC	1896178
GCA_015502575.1	Mortierella sp. AD010	1896179
GCA_015679695.1	Mortierella sp. AD011	1896180
GCA_015502475.1	Mortierella sp. AD031	1896182
GCA_016098025.1	Mortierella sp. AD032	1896183
GCA_015679545.1	Mortierella sp. AD094	1896185
GCA_015502455.1	Mortierella sp. AM989	1896186
GCA_016098035.1	Mortierella sp. GBA30	1896187
GCA_015502445.1	Mortierella sp. GBA35	1896188
GCA_015502485.1	Mortierella sp. GBA39	1896189
GCA_016098045.1	Mortierella sp. GBA43	1896190
GCA_016098085.1	Mortierella sp. NVP41	1896192
GCA_015679515.1	Mortierella sp. NVP85	1896193
GCA_000950595.1	Mucor ambiguus	91626
GCA_010203745.1	Mucor lusitanicus	29924
GCA_016758945.1	Mucor plumbeus	97098
GCA_016758985.1	Mucor saturninus	64648
GCA_000328475.2	Mycosarcoma maydis	5270
GCA_000738915.1	Nematocida ausubeli	1913371
GCA_001642395.1	Nematocida displodere	1805483
GCA_001642415.1	Nematocida ironsii	1805481
GCA_000250985.1	Nematocida parisii ERTm1	881290
GCA_002104975.1	Neocallimastix californiae	1754190
GCA_016946835.1	Neocallimastix lanati (nom. inval.)	2767002
GCA_001929475.1	Neolecta irregularis DAH-3	1198029
GCA_000182925.2	Neurospora crassa OR74A	367110
GCA_000383075.1	Nosema bombycis CQ1	578461
GCA_015832245.1	Nosema granulosis	83296
GCA_017911155.1	Olpidium bornovanus	278681
GCA_012184305.1	Orbilia brochopaga	3140254
GCA_000225545.1	Orbilia oligospora ATCC 24927	756982
GCA_000803265.1	Ordospora colligata OC4	1354746
GCA_002794465.1	Paramicrosporidium saccamoebae	1246581
GCA_000938895.1	Parasitella parasitica	35722
GCA_001638985.2	Phycomyces blakesleeanus NRRL 1555(-)	763407
GCA_003614145.1	Piptocephalis cylindrospora	1907219
GCA_002104945.1	Piromyces finnis	1754191
GCA_002157105.1	Piromyces sp. E2	73868
GCA_001477545.1	Pneumocystis carinii B80	1408658
GCA_015852385.1	Podila clonocystis	979688
GCA_015852495.1	Podila epicladia	979697
GCA_015679605.1	Podila epigama	979699
GCA_015679535.1	Podila horticola	311239
GCA_016097945.1	Podila humilis	64523
GCA_016098005.1	Podila minutissima	64525
GCA_000739165.1	Podila verticillata NRRL 6337	1069443
GCA_000006255.1	Postia placenta Mad-698-R	561896
GCA_006536005.1	Powellomyces hirtus	109895
GCA_001432165.1	Pseudoloma neurophilia	146866
GCA_000149925.1	Puccinia graminis f. sp. tritici CRL 75-36-700-3	418459
GCA_015039355.1	Ramaria rubella	113071
GCA_002104985.1	Rhizoclosmatium globosum	329046
GCA_016906535.1	Rhizoctonia solani	456999
GCA_015698045.1	Rhizophagus clarus	94130
GCA_000439145.3	Rhizophagus irregularis DAOM 181602=DAOM 197198	747089
GCA_003549995.1	Rhizophagus sp. MUCL 43196	1803374
GCA_003325435.1	Rhizopus azygosporus	86630
GCA_000149305.1	Rhizopus delemar RA 99-880	246409
GCA_002708625.1	Rhizopus microsporus ATCC 52813	1340429
GCA_000442015.1	Rozella allomycis CSF55	988480
GCA_000146045.2	Saccharomyces cerevisiae S288C	559292
GCA_000149845.2	Schizosaccharomyces japonicus yFS275	402676
GCA_000002945.2	Schizosaccharomyces pombe	4896
GCA_000146945.2	Sclerotinia sclerotiorum 1980 UF-70	665079
GCA_000218685.1	Serpula lacrymans var. lacrymans S7.9	578457
GCA_003097675.1	Smittium angustum	133377
GCA_001970855.1	Smittium culicis	133412
GCA_003086715.1	Smittium megazygosporum	133381
GCA_001953115.1	Smittium mucronatum	133383
GCA_003086735.1	Smittium simulii	133385
GCA_000182565.2	Spizellomyces punctatus DAOM BR117	645134
GCA_006535965.1	Spizellomyces sp. 'palustris'	117820
GCA_002105135.1	Syncephalastrum racemosum	13706
GCA_003614755.1	Syncephalis pseudoplumigaleata	1712513
GCA_006535955.1	Synchytrium endobioticum	286115
GCA_006535985.1	Synchytrium microbalum	1806994
GCA_016758935.1	Thamnidium elegans	101142
GCA_003614735.1	Thamnocephalis sphaerospora	78915
GCA_000711695.1	Tilletiaria anomala UBC 951	1037660
GCA_000316135.1	Trachipleistophora hominis	72359
GCA_000167675.2	Trichoderma reesei QM6a	431241
GCA_000151645.1	Tuber melanosporum	39416
GCA_004000155.1	Tubulinosema ratisbonensis	291195
GCA_016758905.1	Umbelopsis isabellina	91625
GCA_016758895.1	Umbelopsis vinacea	44442
GCA_000447185.1	Vairimorpha apis BRL 01	1037528
GCA_000988165.1	Vairimorpha ceranae	40302
GCA_000192795.1	Vavraia culicis subsp. floridensis	948595
GCA_000150675.2	Verticillium dahliae VdLs.17	498257
GCA_000231115.1	Vittaforma corneae ATCC 50505	993615
GCA_000400465.1	Wallemia ichthyophaga EXF-994	1299270
GCA_000002525.1	Yarrowia lipolytica CLIB122	284591
GCA_001969505.1	Zancudomyces culisetae	1213189
GCA_000219625.1	Zymoseptoria tritici IPO323	336722
