seq_id,Ala,Arg,Asn,Asp,Cys,Gln,Glu,Gly,His,Ile,Leu,Lys,Met,Phe,Pro,Ser,Thr,Trp,Tyr,Val
"lcl|CP059658.1_cds_QRW15518.1_1 [locus_tag=RhiXN_03519] [protein=hypothetical protein] [protein_id=QRW15518.1] [location=join(284..286,338..613,666..740,800..958,1034..1273,1354..1735,1810..1991,2045..2071,2122..2229)] [gbkey=CDS]",0.07053941908713693,0.04564315352697095,0.03112033195020747,0.07883817427385892,0.008298755186721992,0.058091286307053944,0.0954356846473029,0.07261410788381743,0.043568464730290454,0.026970954356846474,0.08921161825726141,0.06639004149377593,0.03319502074688797,0.01867219917012448,0.029045643153526972,0.07676348547717843,0.06431535269709543,0.014522821576763486,0.014522821576763486,0.06224066390041494
"lcl|CP059658.1_cds_QRW15519.1_2 [locus_tag=RhiXN_03520] [protein=hypothetical protein] [protein_id=QRW15519.1] [location=complement(join(3906..4062,4121..4284,4340..4956,5017..5182,5473..5589,5643..5711,5753..5881,5916..5966))] [gbkey=CDS]",0.06762295081967214,0.06352459016393443,0.05737704918032787,0.06352459016393443,0.010245901639344262,0.03483606557377049,0.05122950819672131,0.07991803278688525,0.03278688524590164,0.05327868852459016,0.07991803278688525,0.06352459016393443,0.012295081967213115,0.045081967213114756,0.05942622950819672,0.055327868852459015,0.040983606557377046,0.03278688524590164,0.03278688524590164,0.06352459016393443
"lcl|CP059658.1_cds_QRW15520.1_3 [locus_tag=RhiXN_03521] [protein=hypothetical protein] [protein_id=QRW15520.1] [location=complement(join(9821..10756,10815..10968,11020..11036,11087..11179,11235..11419,11471..11527,11577..11619,11685..11833,11882..12318,12368..12445,12494..12522,13645..14499,14551..14647,14698..14851,14901..15623,15672..16113))] [gbkey=CDS]",0.07697501688048616,0.05671843349088454,0.02903443619176232,0.048615800135043886,0.01688048615800135,0.04523970290344362,0.049966239027684,0.05941931127616475,0.035111411208642807,0.05671843349088454,0.0837272113436867,0.03848750844024308,0.02025658338960162,0.03848750844024308,0.07157326130992572,0.08710330857528698,0.06347062795408508,0.017555705604321403,0.03781228899392303,0.06684672518568535
"lcl|CP059658.1_cds_QRW15521.1_4 [locus_tag=RhiXN_03522] [protein=other/TTK protein kinase] [protein_id=QRW15521.1] [location=join(16753..17434,17486..18531,18791..19138,19477..19707,19964..20285,20346..20497,20547..20609)] [gbkey=CDS]",0.07399577167019028,0.08456659619450317,0.03276955602536998,0.05813953488372093,0.005285412262156448,0.042283298097251586,0.06553911205073996,0.06342494714587738,0.02536997885835095,0.04756871035940803,0.09090909090909091,0.04756871035940803,0.016913319238900635,0.010570824524312896,0.10465116279069768,0.09725158562367865,0.0507399577167019,0.011627906976744186,0.0200845665961945,0.0507399577167019
"lcl|CP059658.1_cds_QRW15522.1_5 [locus_tag=RhiXN_03523] [protein=hypothetical protein] [protein_id=QRW15522.1] [location=join(24527..25334,25390..25454,25502..25911,25962..26132,26180..26507,26561..27155,27211..28853,28913..28966,29016..29398,29431..29837,30442..30653)] [gbkey=CDS]",0.06094674556213018,0.06449704142011835,0.0378698224852071,0.04792899408284024,0.005917159763313609,0.046153846153846156,0.0727810650887574,0.04437869822485207,0.029585798816568046,0.05680473372781065,0.08284023668639054,0.06153846153846154,0.018343195266272188,0.028402366863905324,0.09940828402366864,0.10828402366863905,0.05798816568047337,0.01242603550295858,0.02485207100591716,0.03905325443786982
lcl|CP059658.1_cds_QRW15523.1_6 [locus_tag=RhiXN_03524] [protein=Retrovirus-related Pol polyprotein from transposon] [protein_id=QRW15523.1] [location=30716..31171] [gbkey=CDS],0.05333333333333334,0.08666666666666667,0.05333333333333334,0.05333333333333334,0.006666666666666667,0.06666666666666667,0.04666666666666667,0.06,0.02666666666666667,0.06,0.06,0.04,0.013333333333333334,0.02,0.06,0.08666666666666667,0.09333333333333334,0.02666666666666667,0.03333333333333333,0.05333333333333334
"lcl|CP059658.1_cds_QRW15524.1_7 [locus_tag=RhiXN_03525] [protein=hypothetical protein] [protein_id=QRW15524.1] [location=join(33233..33821,33881..33913,33974..34704)] [gbkey=CDS]",0.07349665924276169,0.0334075723830735,0.0556792873051225,0.060133630289532294,0.013363028953229399,0.031180400890868598,0.0645879732739421,0.04899777282850779,0.04899777282850779,0.051224944320712694,0.0935412026726058,0.013363028953229399,0.008908685968819599,0.04899777282850779,0.10690423162583519,0.062360801781737196,0.05790645879732739,0.015590200445434299,0.051224944320712694,0.060133630289532294
"lcl|CP059658.1_cds_QRW15525.1_8 [locus_tag=RhiXN_03526] [protein=hypothetical protein] [protein_id=QRW15525.1] [location=complement(join(40143..40744,40805..41486))] [gbkey=CDS]",0.07981220657276995,0.035211267605633804,0.046948356807511735,0.06572769953051644,0.014084507042253521,0.03051643192488263,0.07511737089201878,0.05868544600938967,0.06807511737089202,0.046948356807511735,0.06572769953051644,0.014084507042253521,0.007042253521126761,0.046948356807511735,0.107981220657277,0.056338028169014086,0.03286384976525822,0.023474178403755867,0.051643192488262914,0.07276995305164319
"lcl|CP059658.1_cds_QRW15526.1_9 [locus_tag=RhiXN_03527] [protein=Retrovirus-related Pol polyprotein from transposon] [protein_id=QRW15526.1] [location=complement(join(41690..49117,49165..49229,49285..50092))] [gbkey=CDS]",0.059674502712477394,0.06401446654611212,0.04050632911392405,0.04701627486437613,0.006871609403254973,0.049909584086799276,0.07197106690777577,0.04737793851717902,0.03218806509945751,0.058589511754068714,0.081374321880651,0.06003616636528029,0.01735985533453888,0.03146473779385172,0.08788426763110307,0.0918625678119349,0.060759493670886074,0.013743218806509945,0.03146473779385172,0.04593128390596745
"lcl|CP059658.1_cds_QRW15527.1_10 [locus_tag=RhiXN_03528] [protein=hypothetical protein] [protein_id=QRW15527.1] [location=join(53413..53569,53623..53990,54041..55084)] [gbkey=CDS]",0.13051823416506717,0.044145873320537425,0.04798464491362764,0.03262955854126679,0.01727447216890595,0.04222648752399232,0.046065259117082535,0.0690978886756238,0.019193857965451054,0.03262955854126679,0.09788867562380038,0.1036468330134357,0.007677543186180422,0.015355086372360844,0.09404990403071017,0.05182341650671785,0.06333973128598848,0.011516314779270634,0.015355086372360844,0.05758157389635317
"lcl|CP059658.1_cds_QRW15528.1_11 [locus_tag=RhiXN_03529] [protein=DDE superfamily endonuclease] [protein_id=QRW15528.1] [location=complement(join(55644..55777,55839..56160))] [gbkey=CDS]",0.1,0.013333333333333334,0.04666666666666667,0.02666666666666667,0.02666666666666667,0.06666666666666667,0.013333333333333334,0.06,0.04,0.08,0.11333333333333333,0.04,0.02,0.05333333333333334,0.05333333333333334,0.06,0.08666666666666667,0.02,0.02666666666666667,0.05333333333333334
"lcl|CP059658.1_cds_QRW15529.1_12 [locus_tag=RhiXN_03530] [protein=hypothetical protein] [protein_id=QRW15529.1] [location=join(57440..57694,58243..58626)] [gbkey=CDS]",0.052132701421800945,0.04739336492890995,0.07582938388625593,0.061611374407582936,0.014218009478672985,0.037914691943127965,0.04739336492890995,0.09004739336492891,0.023696682464454975,0.06635071090047394,0.07582938388625593,0.04265402843601896,0.02843601895734597,0.03317535545023697,0.061611374407582936,0.06635071090047394,0.06635071090047394,0.018957345971563982,0.023696682464454975,0.06635071090047394
"lcl|CP059658.1_cds_QRW15530.1_13 [locus_tag=RhiXN_03531] [protein=Dyp-type peroxidase family] [protein_id=QRW15530.1] [location=complement(join(64412..64623,64673..64780,64834..65052,65115..65324,65370..65452,65505..65524,65576..66015,66065..66121,66182..66215))] [gbkey=CDS]",0.08061002178649238,0.06535947712418301,0.058823529411764705,0.06318082788671024,0.008714596949891068,0.0457516339869281,0.05010893246187364,0.09586056644880174,0.017429193899782137,0.061002178649237473,0.08496732026143791,0.0457516339869281,0.004357298474945534,0.061002178649237473,0.06971677559912855,0.0718954248366013,0.037037037037037035,0.010893246187363835,0.017429193899782137,0.05010893246187364
"lcl|CP059658.1_cds_QRW15531.1_14 [locus_tag=RhiXN_03532] [protein=hypothetical protein] [protein_id=QRW15531.1] [location=complement(join(70444..71045,71107..71788))] [gbkey=CDS]",0.08450704225352113,0.023474178403755867,0.06807511737089202,0.06338028169014084,0.023474178403755867,0.04225352112676056,0.05868544600938967,0.0539906103286385,0.06103286384976526,0.056338028169014086,0.06572769953051644,0.011737089201877934,0.007042253521126761,0.0539906103286385,0.10328638497652583,0.056338028169014086,0.035211267605633804,0.025821596244131457,0.04929577464788732,0.056338028169014086
"lcl|CP059658.1_cds_QRW15532.1_15 [locus_tag=RhiXN_03533] [protein=Retrovirus-related Pol polyprotein from transposon] [protein_id=QRW15532.1] [location=complement(join(71992..75680,75741..76139,76197..76455,76515..80335,80396..80457,81670..81725))] [gbkey=CDS]",0.06231884057971015,0.0644927536231884,0.042753623188405795,0.04528985507246377,0.008333333333333333,0.05,0.07246376811594203,0.04673913043478261,0.0322463768115942,0.059420289855072465,0.08007246376811594,0.059782608695652176,0.016304347826086956,0.031159420289855074,0.08623188405797101,0.08876811594202899,0.06086956521739131,0.014855072463768116,0.0322463768115942,0.04565217391304348
"lcl|CP059658.1_cds_QRW15533.1_16 [locus_tag=RhiXN_03534] [protein=hypothetical protein] [protein_id=QRW15533.1] [location=complement(join(91837..92017,92072..92133))] [gbkey=CDS]",0.06329113924050633,0.02531645569620253,0.02531645569620253,0.0379746835443038,0.012658227848101266,0.10126582278481013,0.06329113924050633,0.06329113924050633,0.05063291139240506,0.012658227848101266,0.20253164556962025,0.10126582278481013,0.0759493670886076,0.012658227848101266,0.02531645569620253,0.05063291139240506,0.0379746835443038,0,0,0.0379746835443038
"lcl|CP059658.1_cds_QRW15534.1_17 [locus_tag=RhiXN_03535] [protein=RNA-directed DNA polymerase from transposon BS] [protein_id=QRW15534.1] [location=complement(join(92791..93597,93652..93786,94666..94934,94998..95081,95134..95464,95753..95782))] [gbkey=CDS]",0.12545454545454546,0.045454545454545456,0.03636363636363636,0.02909090909090909,0.02181818181818182,0.045454545454545456,0.02909090909090909,0.05090909090909091,0.03636363636363636,0.04363636363636364,0.09454545454545454,0.056363636363636366,0.012727272727272728,0.03090909090909091,0.11818181818181818,0.07818181818181819,0.07090909090909091,0.01818181818181818,0.00909090909090909,0.04727272727272727
lcl|CP059658.1_cds_QRW15535.1_18 [locus_tag=RhiXN_03536] [protein=Retrotransposon-derived protein PEG10] [protein_id=QRW15535.1] [location=98656..100050] [gbkey=CDS],0.1101511879049676,0.06695464362850972,0.047516198704103674,0.03455723542116631,0.01511879049676026,0.056155507559395246,0.058315334773218146,0.05399568034557235,0.02591792656587473,0.04535637149028078,0.08423326133909287,0.05399568034557235,0.01511879049676026,0.028077753779697623,0.09503239740820735,0.058315334773218146,0.08855291576673865,0.017278617710583154,0.008639308855291577,0.0367170626349892
"lcl|CP059658.1_cds_QRW15536.1_19 [locus_tag=RhiXN_03537] [protein=Retrotransposon gag protein] [protein_id=QRW15536.1] [location=join(101072..102152,102218..102423)] [gbkey=CDS]",0.11241217798594848,0.07259953161592506,0.03044496487119438,0.03981264637002342,0.01405152224824356,0.053864168618266976,0.06557377049180328,0.05620608899297424,0.02107728337236534,0.03278688524590164,0.09601873536299765,0.06557377049180328,0.01405152224824356,0.02576112412177986,0.09836065573770492,0.0468384074941452,0.07962529274004684,0.02107728337236534,0.0117096018735363,0.04215456674473068
"lcl|CP059658.1_cds_QRW15537.1_20 [locus_tag=RhiXN_03538] [protein=Retrotransposable element Tf2 protein] [protein_id=QRW15537.1] [location=join(102663..104725,104767..105853)] [gbkey=CDS]",0.06965648854961833,0.04866412213740458,0.04770992366412214,0.05248091603053435,0.01049618320610687,0.046755725190839696,0.06774809160305344,0.05248091603053435,0.03148854961832061,0.04198473282442748,0.10114503816793893,0.08587786259541985,0.020038167938931296,0.04961832061068702,0.05820610687022901,0.05343511450381679,0.05248091603053435,0.02385496183206107,0.03148854961832061,0.05438931297709924
lcl|CP059658.1_cds_QRW15538.1_21 [locus_tag=RhiXN_03539] [protein=Retrotransposable element Tf2 protein] [protein_id=QRW15538.1] [location=106656..107393] [gbkey=CDS],0.06147540983606557,0.036885245901639344,0.04918032786885246,0.06557377049180328,0.01639344262295082,0.028688524590163935,0.06557377049180328,0.05327868852459016,0.036885245901639344,0.04918032786885246,0.11475409836065574,0.0778688524590164,0.020491803278688523,0.03278688524590164,0.0860655737704918,0.06147540983606557,0.05737704918032787,0.020491803278688523,0.028688524590163935,0.036885245901639344
