seq_id,value
"lcl|CP059658.1_cds_QRW15518.1_1 [locus_tag=RhiXN_03519] [protein=hypothetical protein] [protein_id=QRW15518.1] [location=join(284..286,338..613,666..740,800..958,1034..1273,1354..1735,1810..1991,2045..2071,2122..2229)] [gbkey=CDS]",0.4723374827109267
"lcl|CP059658.1_cds_QRW15519.1_2 [locus_tag=RhiXN_03520] [protein=hypothetical protein] [protein_id=QRW15519.1] [location=complement(join(3906..4062,4121..4284,4340..4956,5017..5182,5473..5589,5643..5711,5753..5881,5916..5966))] [gbkey=CDS]",0.4972677595628415
"lcl|CP059658.1_cds_QRW15520.1_3 [locus_tag=RhiXN_03521] [protein=hypothetical protein] [protein_id=QRW15520.1] [location=complement(join(9821..10756,10815..10968,11020..11036,11087..11179,11235..11419,11471..11527,11577..11619,11685..11833,11882..12318,12368..12445,12494..12522,13645..14499,14551..14647,14698..14851,14901..15623,15672..16113))] [gbkey=CDS]",0.49763673193787983
"lcl|CP059658.1_cds_QRW15521.1_4 [locus_tag=RhiXN_03522] [protein=other/TTK protein kinase] [protein_id=QRW15521.1] [location=join(16753..17434,17486..18531,18791..19138,19477..19707,19964..20285,20346..20497,20547..20609)] [gbkey=CDS]",0.5443974630021141
"lcl|CP059658.1_cds_QRW15522.1_5 [locus_tag=RhiXN_03523] [protein=hypothetical protein] [protein_id=QRW15522.1] [location=join(24527..25334,25390..25454,25502..25911,25962..26132,26180..26507,26561..27155,27211..28853,28913..28966,29016..29398,29431..29837,30442..30653)] [gbkey=CDS]",0.43550295857988164
lcl|CP059658.1_cds_QRW15523.1_6 [locus_tag=RhiXN_03524] [protein=Retrovirus-related Pol polyprotein from transposon] [protein_id=QRW15523.1] [location=30716..31171] [gbkey=CDS],0.46
"lcl|CP059658.1_cds_QRW15524.1_7 [locus_tag=RhiXN_03525] [protein=hypothetical protein] [protein_id=QRW15524.1] [location=join(33233..33821,33881..33913,33974..34704)] [gbkey=CDS]",0.5270972531551597
"lcl|CP059658.1_cds_QRW15525.1_8 [locus_tag=RhiXN_03526] [protein=hypothetical protein] [protein_id=QRW15525.1] [location=complement(join(40143..40744,40805..41486))] [gbkey=CDS]",0.5446009389671361
"lcl|CP059658.1_cds_QRW15526.1_9 [locus_tag=RhiXN_03527] [protein=Retrovirus-related Pol polyprotein from transposon] [protein_id=QRW15526.1] [location=complement(join(41690..49117,49165..49229,49285..50092))] [gbkey=CDS]",0.43050030138637735
"lcl|CP059658.1_cds_QRW15527.1_10 [locus_tag=RhiXN_03528] [protein=hypothetical protein] [protein_id=QRW15527.1] [location=join(53413..53569,53623..53990,54041..55084)] [gbkey=CDS]",0.5374280230326296
