ko	subunit	brite_entry	threshold	threshold_available	score_type	profile_type	definition
K02865	Large subunit	K02865  RP-L10Ae, RPL10A; large subunit ribosomal protein L10Ae	144.83	true	full	all	large subunit ribosomal protein L10Ae
K02866	Large subunit	K02866  RP-L10e, RPL10; large subunit ribosomal protein L10e	86.17	true	full	all	large subunit ribosomal protein L10e
K02868	Large subunit	K02868  RP-L11e, RPL11; large subunit ribosomal protein L11e	226.23	true	full	all	large subunit ribosomal protein L11e
K02870	Large subunit	K02870  RP-L12e, RPL12; large subunit ribosomal protein L12e	135.63	true	full	all	large subunit ribosomal protein L12e
K02872	Large subunit	K02872  RP-L13Ae, RPL13A; large subunit ribosomal protein L13Ae	141.90	true	full	all	large subunit ribosomal protein L13Ae
K02873	Large subunit	K02873  RP-L13e, RPL13; large subunit ribosomal protein L13e	39.97	true	full	trim	large subunit ribosomal protein L13e
K02875	Large subunit	K02875  RP-L14e, RPL14; large subunit ribosomal protein L14e	25.07	true	domain	all	large subunit ribosomal protein L14e
K02877	Large subunit	K02877  RP-L15e, RPL15; large subunit ribosomal protein L15e	122.83	true	full	all	large subunit ribosomal protein L15e
K02880	Large subunit	K02880  RP-L17e, RPL17; large subunit ribosomal protein L17e	164.00	true	domain	all	large subunit ribosomal protein L17e
K02882	Large subunit	K02882  RP-L18Ae, RPL18A; large subunit ribosomal protein L18Ae	62.00	true	full	all	large subunit ribosomal protein L18Ae
K02883	Large subunit	K02883  RP-L18e, RPL18; large subunit ribosomal protein L18e	27.23	true	full	all	large subunit ribosomal protein L18e
K02885	Large subunit	K02885  RP-L19e, RPL19; large subunit ribosomal protein L19e	67.27	true	full	all	large subunit ribosomal protein L19e
K02889	Large subunit	K02889  RP-L21e, RPL21; large subunit ribosomal protein L21e	37.17	true	full	all	large subunit ribosomal protein L21e
K02891	Large subunit	K02891  RP-L22e, RPL22; large subunit ribosomal protein L22e	56.30	true	full	all	large subunit ribosomal protein L22e
K02893	Large subunit	K02893  RP-L23Ae, RPL23A; large subunit ribosomal protein L23Ae	123.10	true	full	all	large subunit ribosomal protein L23Ae
K02894	Large subunit	K02894  RP-L23e, RPL23; large subunit ribosomal protein L23e	189.53	true	full	all	large subunit ribosomal protein L23e
K02896	Large subunit	K02896  RP-L24e, RPL24; large subunit ribosomal protein L24e	33.30	true	full	all	large subunit ribosomal protein L24e
K02898	Large subunit	K02898  RP-L26e, RPL26; large subunit ribosomal protein L26e	164.80	true	full	all	large subunit ribosomal protein L26e
K02900	Large subunit	K02900  RP-L27Ae, RPL27A; large subunit ribosomal protein L27Ae	98.87	true	full	all	large subunit ribosomal protein L27Ae
K02901	Large subunit	K02901  RP-L27e, RPL27; large subunit ribosomal protein L27e	65.13	true	full	all	large subunit ribosomal protein L27e
K02903	Large subunit	K02903  RP-L28e, RPL28; large subunit ribosomal protein L28e	37.73	true	domain	all	large subunit ribosomal protein L28e
K02905	Large subunit	K02905  RP-L29e, RPL29; large subunit ribosomal protein L29e	41.93	true	full	all	large subunit ribosomal protein L29e
K02908	Large subunit	K02908  RP-L30e, RPL30; large subunit ribosomal protein L30e	40.60	true	full	all	large subunit ribosomal protein L30e
K02910	Large subunit	K02910  RP-L31e, RPL31; large subunit ribosomal protein L31e	27.30	true	domain	all	large subunit ribosomal protein L31e
K02912	Large subunit	K02912  RP-L32e, RPL32; large subunit ribosomal protein L32e	58.10	true	full	all	large subunit ribosomal protein L32e
K02915	Large subunit	K02915  RP-L34e, RPL34; large subunit ribosomal protein L34e	28.47	true	full	all	large subunit ribosomal protein L34e
K02917	Large subunit	K02917  RP-L35Ae, RPL35A; large subunit ribosomal protein L35Ae	24.70	true	domain	all	large subunit ribosomal protein L35Ae
K02918	Large subunit	K02918  RP-L35e, RPL35; large subunit ribosomal protein L35e	60.20	true	full	all	large subunit ribosomal protein L35e
K02920	Large subunit	K02920  RP-L36e, RPL36; large subunit ribosomal protein L36e	42.60	true	full	all	large subunit ribosomal protein L36e
K02921	Large subunit	K02921  RP-L37Ae, RPL37A; large subunit ribosomal protein L37Ae	27.77	true	domain	all	large subunit ribosomal protein L37Ae
K02922	Large subunit	K02922  RP-L37e, RPL37; large subunit ribosomal protein L37e	42.50	true	full	all	large subunit ribosomal protein L37e
K02923	Large subunit	K02923  RP-L38e, RPL38; large subunit ribosomal protein L38e	24.03	true	domain	all	large subunit ribosomal protein L38e
K02924	Large subunit	K02924  RP-L39e, RPL39; large subunit ribosomal protein L39e	21.47	true	full	all	large subunit ribosomal protein L39e
K02925	Large subunit	K02925  RP-L3e, RPL3; large subunit ribosomal protein L3e	336.60	true	full	all	large subunit ribosomal protein L3e
K02927	Large subunit	K02927  RP-L40e, RPL40, UBA52; ubiquitin-large subunit ribosomal protein L40e	205.40	true	domain	all	ubiquitin-large subunit ribosomal protein L40e
K02928	Large subunit	K02928  RP-L41e, RPL41; large subunit ribosomal protein L41e	27.17	true	full	all	large subunit ribosomal protein L41e
K02929	Large subunit	K02929  RP-L44e, RPL44; large subunit ribosomal protein L44e	24.93	true	full	all	large subunit ribosomal protein L44e
K02930	Large subunit	K02930  RP-L4e, RPL4; large subunit ribosomal protein L4e	101.00	true	full	all	large subunit ribosomal protein L4e
K02932	Large subunit	K02932  RP-L5e, RPL5; large subunit ribosomal protein L5e	142.67	true	domain	all	large subunit ribosomal protein L5e
K02934	Large subunit	K02934  RP-L6e, RPL6; large subunit ribosomal protein L6e	57.60	true	full	all	large subunit ribosomal protein L6e
K02936	Large subunit	K02936  RP-L7Ae, RPL7A; large subunit ribosomal protein L7Ae	63.57	true	domain	all	large subunit ribosomal protein L7Ae
K02937	Large subunit	K02937  RP-L7e, RPL7; large subunit ribosomal protein L7e	101.80	true	full	all	large subunit ribosomal protein L7e
K02938	Large subunit	K02938  RP-L8e, RPL8; large subunit ribosomal protein L8e	300.93	true	full	all	large subunit ribosomal protein L8e
K02940	Large subunit	K02940  RP-L9e, RPL9; large subunit ribosomal protein L9e	211.37	true	full	all	large subunit ribosomal protein L9e
K02941	Large subunit	K02941  RP-LP0, RPLP0; large subunit ribosomal protein LP0	194.17	true	full	all	large subunit ribosomal protein LP0
K02942	Large subunit	K02942  RP-LP1, RPLP1; large subunit ribosomal protein LP1	79.70	true	full	all	large subunit ribosomal protein LP1
