assemblyid	Phylum	primary_lifestyle	organism	Class	Order	taxid	species_taxid	name	strain	BUSCO score	Scaffold N50 (Mb)	scaffoldL50	Genome size (Mb)	tAI_mean	tAI_cubar	diff	sum_protein_lengths	mean_proein_len	tRNAscan-SE mean score	tRNAscan-SE medina score		name	assembly	proteomes	bialka dla Magdy	tabelka serwer	google sheet	czy sa dane
GCA_000002525.1	Ascomycota	unspecified_saprotroph	Yarrowia lipolytica CLIB122	Saccharomycetes	Saccharomycetales	284591	4952	Yarrowia lipolytica CLIB122	CLIB122	97.9	3.633	3	20.6	0.382	0.336	0.05	3139837	486.9	64.81	64.60								
GCA_000002945.2	Ascomycota	nectar_tap_saprotroph	Schizosaccharomyces pombe	Schizosaccharomycetes	Schizosaccharomycetales	4896	4896	Schizosaccharomyces pombe	strain=972h-	95.5	4.54	2	12.6	0.435	0.349	0.09	2394967	463.5	64.66	65.00								
GCA_000006255.1	Basidiomycota	wood_saprotroph	Postia placenta Mad-698-R	Agaricomycetes	Polyporales	561896	104341	Postia placenta Mad-698-R	strain=Mad-698-R	93.8	0.323	85	90.9	0.238	0.321	-0.08	3922609	431.7	59.49	62.30								
GCA_000146045.2	Ascomycota	nectar/tap_saprotroph	Saccharomyces cerevisiae S288C	Saccharomycetes	Saccharomycetales	559292	4932	Saccharomyces cerevisiae S288C	strain=S288C	96.7	0.924	6	12.2	0.392	0.327	0.06	2927506	487.3	67.94	67.60								
GCA_000146465.1	Microsporidia	animal_parasite	Encephalitozoon intestinalis ATCC 50506	Microsporidea	Nosematida	876142	58839	Encephalitozoon intestinalis ATCC 50506	strain=ATCC 50506	22.9	0.205	5	2.2	0.494	0.434	0.06	660935	340.9	70.93	71.10								
GCA_000146945.2	Ascomycota	plant_pathogen	Sclerotinia sclerotiorum 1980 UF-70	Leotiomycetes	Helotiales	665079	5180	Sclerotinia sclerotiorum 1980 UF-70	strain=1980	96.9	1.626	9	38.5	0.399	0.320	0.08	5261966	363.1	59.11	58.85								
GCA_000149205.2	Ascomycota	unspecified_saprotroph	Aspergillus nidulans FGSC A4	Eurotiomycetes	Eurotiales	227321	162425	Aspergillus nidulans FGSC A4	strain=FGSC A4	98	2.479	5	30.3	0.426	0.358	0.07	5073801	530.7	63.36	62.85								
GCA_000149245.3	Basidiomycota	unspecified_saprotroph	Cryptococcus neoformans var. grubii H99	Tremellomycetes	Tremellales	235443	5207	Cryptococcus neoformans var. grubii H99	strain=H99	92.6	1.422	6	18.9	0.271	0.275	0.00	4093411	523.1	53.50	53.50								
GCA_000149305.1	Mucoromycota	soil_saprotroph	Rhizopus delemar RA 99-880	Mucoromycetes	Mucorales	246409	936053	Rhizopus delemar RA 99-880	strain=RA 99-880	93.9	3.104	6	46.1	0.366	0.294	0.07	5971044	342.0	69.19	70.20								
GCA_000149335.2	Ascomycota	soil_saprotroph	Coccidioides immitis RS	Eurotiomycetes	Onygenales	246410	5501	Coccidioides immitis RS	strain=RS	98.9	4.324	3	29	0.478	0.378	0.10	4309464	434.9	64.00	65.50								
