seq_id,value
"lcl|CH236927.1_cds_EAA57827.1_1 [protein=hypothetical protein] [protein_id=EAA57827.1] [location=complement(join(7633..8567,8623..8941,8989..9067,9109..9140))] [gbkey=CDS]",0.32516703786191536
"lcl|CH236927.1_cds_EAA57828.1_2 [protein=hypothetical protein] [protein_id=EAA57828.1] [location=complement(join(10249..10694,10809..10862,11084..11090))] [gbkey=CDS]",0.425
"lcl|CH236927.1_cds_EAA57829.1_3 [protein=hypothetical protein] [protein_id=EAA57829.1] [location=complement(join(11962..12140,12203..12627,12795..12955,13008..13061))] [gbkey=CDS]",0.3609022556390977
"lcl|CH236927.1_cds_EAA57830.1_4 [protein=hypothetical protein] [protein_id=EAA57830.1] [location=join(13648..13664,13726..13805,13863..13927,13981..14183,14239..14518,14598..14606)] [gbkey=CDS]",0.4413145539906103
"lcl|CH236927.1_cds_EAA57831.1_5 [protein=hypothetical protein] [protein_id=EAA57831.1] [location=complement(join(14724..14978,15116..15189,15514..15712))] [gbkey=CDS]",0.4152046783625731
"lcl|CH236927.1_cds_EAA57832.1_6 [protein=hypothetical protein] [protein_id=EAA57832.1] [location=join(16436..16517,16587..16600,16659..16715,16774..17430)] [gbkey=CDS]",0.4046692607003891
"lcl|CH236927.1_cds_EAA57833.1_7 [protein=hypothetical protein] [protein_id=EAA57833.1] [location=complement(join(17814..18068,18125..18574,18627..18762,18812..18918,18969..19070,19121..19252,19304..20296,20351..20401))] [gbkey=CDS]",0.40559440559440557
"lcl|CH236927.1_cds_EAA57834.1_8 [protein=hypothetical protein] [protein_id=EAA57834.1] [location=join(21642..21832,21883..22261,22307..22741,22796..23155,23206..23241,23291..23390,23496..23526,23629..23681,23733..23776,23933..24074,24129..24364)] [gbkey=CDS]",0.42724458204334365
"lcl|CH236927.1_cds_EAA57835.1_9 [protein=hypothetical protein] [protein_id=EAA57835.1] [location=join(25116..25342,25421..25841)] [gbkey=CDS]",0.391304347826087
"lcl|CH236927.1_cds_EAA57836.1_10 [protein=hypothetical protein] [protein_id=EAA57836.1] [location=complement(join(26399..26436,26571..27545,27604..27933,28087..28156,28203..28509,28636..28820))] [gbkey=CDS]",0.33001658374792703
"lcl|CH236927.1_cds_EAA57837.1_11 [protein=hypothetical protein] [protein_id=EAA57837.1] [location=complement(join(29375..29520,29574..29618,29674..29857))] [gbkey=CDS]",0.4380165289256198
"lcl|CH236927.1_cds_EAA57838.1_12 [protein=hypothetical protein] [protein_id=EAA57838.1] [location=join(30234..30378,30434..30652,30764..30772,30851..31140,31199..31304,31350..31575,31626..32024,32322..32333,32483..32779,32893..33010,33077..33166,33213..33338)] [gbkey=CDS]",0.36818181818181817
"lcl|CH236927.1_cds_EAA57839.1_13 [protein=hypothetical protein] [protein_id=EAA57839.1] [location=complement(join(33732..33872,33930..34074,34117..34213,34272..34649,34720..34807,34860..34970,35141..35143))] [gbkey=CDS]",0.580441640378549
"lcl|CH236927.1_cds_EAA57840.1_14 [protein=hypothetical protein] [protein_id=EAA57840.1] [location=complement(join(36309..36486,36561..36814,36847..36941,37035..37086))] [gbkey=CDS]",0.6021505376344086
"lcl|CH236927.1_cds_EAA57841.1_15 [protein=hypothetical protein] [protein_id=EAA57841.1] [location=complement(join(38470..39132,39187..39562,39614..39633))] [gbkey=CDS]",0.3590504451038576
"lcl|CH236927.1_cds_EAA57842.1_16 [protein=hypothetical protein] [protein_id=EAA57842.1] [location=join(39994..40020,40079..40125,40187..40215,40716..40727,41068..41388,41455..42005)] [gbkey=CDS]",0.48253968253968255
"lcl|CH236927.1_cds_EAA57843.1_17 [protein=hypothetical protein] [protein_id=EAA57843.1] [location=complement(join(42371..42709,42772..42945,43009..43062,43115..43921))] [gbkey=CDS]",0.49443207126948774
"lcl|CH236927.1_cds_EAA57844.1_18 [protein=predicted protein] [protein_id=EAA57844.1] [location=join(47928..47977,48293..48473,48637..48682,48878..48903,49057..49092)] [gbkey=CDS]",0.5
"lcl|CH236927.1_cds_EAA57845.1_19 [protein=hypothetical protein] [protein_id=EAA57845.1] [location=complement(join(50005..50029,50101..50176,50236..50368,50421..50888,50945..51474,51692..51864,51926..52007,52133..52253))] [gbkey=CDS]",0.5243664717348928
"lcl|CH236927.1_cds_EAA57846.1_20 [protein=hypothetical protein] [protein_id=EAA57846.1] [location=join(52850..53118,53186..53975)] [gbkey=CDS]",0.5391566265060241
"lcl|CH236927.1_cds_EAA57847.1_21 [protein=hypothetical protein] [protein_id=EAA57847.1] [location=complement(join(54635..55533,55596..55777,55837..56729,56787..57054,57125..57231,57299..57390,57455..57518))] [gbkey=CDS]",0.43279901356350187
"lcl|CH236927.1_cds_EAA57848.1_22 [protein=conserved hypothetical protein] [protein_id=EAA57848.1] [location=complement(join(58694..58827,58902..59106,59167..59360,59411..59759,59825..59908,59974..60146,60235..60280))] [gbkey=CDS]",0.4444444444444444
"lcl|CH236927.1_cds_EAA57849.1_23 [protein=hypothetical protein] [protein_id=EAA57849.1] [location=complement(join(66272..66294,66366..66724,66949..66964,67024..67105))] [gbkey=CDS]",0.39072847682119205
"lcl|CH236927.1_cds_EAA57850.1_24 [protein=hypothetical protein] [protein_id=EAA57850.1] [location=complement(join(67584..67691,67794..68441,68508..68819))] [gbkey=CDS]",0.5791044776119403
"lcl|CH236927.1_cds_EAA57851.1_25 [protein=hypothetical protein] [protein_id=EAA57851.1] [location=join(69668..69681,69785..69987,70028..70067,70123..70220,70428..70597,70647..70889,70941..71060,71117..71491,71539..71715,71768..71945,72245..72310,72679..72995,73062..75383)] [gbkey=CDS]",0.38869005010737295
"lcl|CH236927.1_cds_EAA57852.1_26 [protein=hypothetical protein] [protein_id=EAA57852.1] [location=complement(join(75692..76297,76384..76395,76504..76578))] [gbkey=CDS]",0.5525114155251142
lcl|CH236927.1_cds_EAA57853.1_27 [protein=hypothetical protein] [protein_id=EAA57853.1] [location=77197..78348] [gbkey=CDS],0.37228260869565216
"lcl|CH236927.1_cds_EAA57854.1_28 [protein=hypothetical protein] [protein_id=EAA57854.1] [location=complement(join(78741..78886,78949..79248,79311..79481,79537..79603,79701..79712,79765..79792,79843..79874,79950..80192,80253..80327))] [gbkey=CDS]",0.43283582089552236
"lcl|CH236927.1_cds_EAA57855.1_29 [protein=hypothetical protein] [protein_id=EAA57855.1] [location=join(80666..80709,80786..81042,81124..81276,81335..81918)] [gbkey=CDS]",0.41194029850746267
"lcl|CH236927.1_cds_EAA57856.1_30 [protein=hypothetical protein] [protein_id=EAA57856.1] [location=complement(join(82096..82104,82163..82197,82290..82641))] [gbkey=CDS]",0.3937007874015748
"lcl|CH236927.1_cds_EAA57857.1_31 [protein=hypothetical protein] [protein_id=EAA57857.1] [location=join(83044..83132,83186..83406,83462..83561,83611..84053,84118..84134)] [gbkey=CDS]",0.37410071942446044
"lcl|CH236927.1_cds_EAA57858.1_32 [protein=hypothetical protein] [protein_id=EAA57858.1] [location=complement(join(84643..84784,84835..84874,84917..84938,85005..85582,85632..85737))] [gbkey=CDS]",0.5
"lcl|CH236927.1_cds_EAA57859.1_33 [protein=hypothetical protein] [protein_id=EAA57859.1] [location=complement(join(86346..87233,87292..87486,87539..87811,87870..87891,87943..88241,88643..88659,88918..89694,89750..90752))] [gbkey=CDS]",0.4168912848158131
"lcl|CH236927.1_cds_EAA57860.1_34 [protein=hypothetical protein] [protein_id=EAA57860.1] [location=join(91167..91185,91368..92284)] [gbkey=CDS]",0.3979933110367893
"lcl|CH236927.1_cds_EAA57861.1_35 [protein=LYS4_EMENI Homoaconitase, mitochondrial precursor (Homoaconitate hydratase)] [protein_id=EAA57861.1] [location=join(92654..92954,93027..95056)] [gbkey=CDS]",0.4879356568364611
"lcl|CH236927.1_cds_EAA57862.1_36 [protein=hypothetical protein] [protein_id=EAA57862.1] [location=complement(join(96435..98018,98089..98349))] [gbkey=CDS]",0.38898163606010017
"lcl|CH236927.1_cds_EAA57863.1_37 [protein=SEPA_EMENI Cytokinesis protein sepA (FH1/2 protein) (Forced expression inhibition of growth A)] [protein_id=EAA57863.1] [location=complement(join(99054..99809,99862..102339,102353..104488))] [gbkey=CDS]",0.4147331786542923
"lcl|CH236927.1_cds_EAA57864.1_38 [protein=hypothetical protein] [protein_id=EAA57864.1] [location=join(105064..105087,105153..105575)] [gbkey=CDS]",0.4028776978417266
"lcl|CH236927.1_cds_EAA57865.1_39 [protein=FDH_EMENI Probable formate dehydrogenase (NAD-dependent formate dehydrogenase) (FDH)] [protein_id=EAA57865.1] [location=complement(join(105991..106933,106993..107168,107223..107237))] [gbkey=CDS]",0.6794520547945205
"lcl|CH236927.1_cds_EAA57866.1_40 [protein=hypothetical protein] [protein_id=EAA57866.1] [location=complement(join(109017..111455,111508..112041))] [gbkey=CDS]",0.4281217208814271
"lcl|CH236927.1_cds_EAA57867.1_41 [protein=hypothetical protein] [protein_id=EAA57867.1] [location=complement(join(112535..113239,113312..113458))] [gbkey=CDS]",0.45787545787545786
"lcl|CH236927.1_cds_EAA57868.1_42 [protein=hypothetical protein] [protein_id=EAA57868.1] [location=complement(join(114062..115021,115202..115242,115311..115368))] [gbkey=CDS]",0.39820359281437123
"lcl|CH236927.1_cds_EAA57869.1_43 [protein=hypothetical protein] [protein_id=EAA57869.1] [location=join(117710..119573,119636..119832,119899..119910)] [gbkey=CDS]",0.40119760479041916
"lcl|CH236927.1_cds_EAA57870.1_44 [protein=hypothetical protein] [protein_id=EAA57870.1] [location=complement(join(120954..121438,121495..122401))] [gbkey=CDS]",0.4431818181818182
"lcl|CH236927.1_cds_EAA57871.1_45 [protein=hypothetical protein] [protein_id=EAA57871.1] [location=join(123145..123261,123332..124357,124407..125045)] [gbkey=CDS]",0.41278065630397237
"lcl|CH236927.1_cds_EAA57872.1_46 [protein=hypothetical protein] [protein_id=EAA57872.1] [location=join(125381..125524,125585..126559)] [gbkey=CDS]",0.4664804469273743
"lcl|CH236927.1_cds_EAA57873.1_47 [protein=hypothetical protein] [protein_id=EAA57873.1] [location=complement(join(127194..130469,130527..131507))] [gbkey=CDS]",0.3933477946493131
"lcl|CH236927.1_cds_EAA57874.1_48 [protein=hypothetical protein] [protein_id=EAA57874.1] [location=join(136807..137085,137134..137289,137342..137974)] [gbkey=CDS]",0.5225225225225225
"lcl|CH236927.1_cds_EAA57875.1_49 [protein=hypothetical protein] [protein_id=EAA57875.1] [location=join(138918..139260,139317..139624)] [gbkey=CDS]",0.43601895734597157
"lcl|CH236927.1_cds_EAA57876.1_50 [protein=hypothetical protein] [protein_id=EAA57876.1] [location=complement(join(139819..140234,140295..140613))] [gbkey=CDS]",0.5084033613445378
"lcl|CH236927.1_cds_EAA57877.1_51 [protein=hypothetical protein] [protein_id=EAA57877.1] [location=join(140941..141033,141134..141514)] [gbkey=CDS]",0.4533333333333333
lcl|CH236927.1_cds_EAA57878.1_52 [protein=hypothetical protein] [protein_id=EAA57878.1] [location=143660..147517] [gbkey=CDS],0.40096230954290296
"lcl|CH236927.1_cds_EAA57879.1_53 [protein=predicted protein] [protein_id=EAA57879.1] [location=complement(join(147845..147955,148172..148177))] [gbkey=CDS]",0.4117647058823529
"lcl|CH236927.1_cds_EAA57880.1_54 [protein=hypothetical protein] [protein_id=EAA57880.1] [location=complement(join(148505..150077,150141..150204,150264..150612,150690..150820,151021..151063))] [gbkey=CDS]",0.4447632711621234
"lcl|CH236927.1_cds_EAA57881.1_55 [protein=hypothetical protein] [protein_id=EAA57881.1] [location=join(151434..151510,151744..152297,152354..153975)] [gbkey=CDS]",0.5947802197802198
lcl|CH236927.1_cds_EAA57883.1_57 [protein=hypothetical protein] [protein_id=EAA57883.1] [location=158364..159020] [gbkey=CDS],0.4975369458128079
"lcl|CH236927.1_cds_EAA57884.1_58 [protein=hypothetical protein] [protein_id=EAA57884.1] [location=complement(join(159598..159664,159711..159808,159894..160154,160234..160332))] [gbkey=CDS]",0.4578313253012048
"lcl|CH236927.1_cds_EAA57885.1_59 [protein=predicted protein] [protein_id=EAA57885.1] [location=complement(join(160698..161986,162106..162157))] [gbkey=CDS]",0.3724137931034483
"lcl|CH236927.1_cds_EAA57886.1_60 [protein=hypothetical protein] [protein_id=EAA57886.1] [location=complement(join(162673..162806,162927..163140,163196..163234))] [gbkey=CDS]",0.43333333333333335
"lcl|CH236927.1_cds_EAA57887.1_61 [protein=hypothetical protein] [protein_id=EAA57887.1] [location=join(163681..163718,163777..163888,163966..164595)] [gbkey=CDS]",0.508
"lcl|CH236927.1_cds_EAA57888.1_62 [protein=hypothetical protein] [protein_id=EAA57888.1] [location=complement(join(164788..165490,165651..165691))] [gbkey=CDS]",0.46808510638297873
"lcl|CH236927.1_cds_EAA57889.1_63 [protein=hypothetical protein] [protein_id=EAA57889.1] [location=complement(join(166032..166975,167040..167136))] [gbkey=CDS]",0.4101796407185629
lcl|CH236927.1_cds_EAA57890.1_64 [protein=hypothetical protein] [protein_id=EAA57890.1] [location=complement(167599..170070)] [gbkey=CDS],0.3816300129366106
"lcl|CH236927.1_cds_EAA57891.1_65 [protein=hypothetical protein] [protein_id=EAA57891.1] [location=complement(join(170575..170659,170728..171656,171716..172158,172210..172247,172297..175620,175689..175893,175946..175998,176064..176191))] [gbkey=CDS]",0.40391459074733094
lcl|CH236927.1_cds_EAA57892.1_66 [protein=hypothetical protein] [protein_id=EAA57892.1] [location=178811..179944] [gbkey=CDS],0.41530054644808745
"lcl|CH236927.1_cds_EAA57893.1_67 [protein=hypothetical protein] [protein_id=EAA57893.1] [location=join(180576..181412,181465..181575,181704..181819,181866..182311,182345..182502,182665..183402)] [gbkey=CDS]",0.4258064516129032
"lcl|CH236927.1_cds_EAA57895.1_69 [protein=hypothetical protein] [protein_id=EAA57895.1] [location=join(185536..185547,185717..185738,185812..186530,186577..186737,186795..186875,186929..187052,187100..187228,187274..187427,187478..187491)] [gbkey=CDS]",0.42857142857142855
"lcl|CH236927.1_cds_EAA57896.1_70 [protein=hypothetical protein] [protein_id=EAA57896.1] [location=complement(join(187794..187985,188038..188319))] [gbkey=CDS]",0.4899328859060403
"lcl|CH236927.1_cds_EAA57897.1_71 [protein=hypothetical protein] [protein_id=EAA57897.1] [location=join(188662..188704,188806..188867,189066..189212,189335..189454)] [gbkey=CDS]",0.6153846153846154
"lcl|CH236927.1_cds_EAA57898.1_72 [protein=hypothetical protein] [protein_id=EAA57898.1] [location=complement(join(189941..190074,190132..190208,190331..190422,190522..190632))] [gbkey=CDS]",0.3893129770992366
lcl|CH236927.1_cds_EAA57899.1_73 [protein=hypothetical protein] [protein_id=EAA57899.1] [location=complement(191051..192715)] [gbkey=CDS],0.3048327137546468
"lcl|CH236927.1_cds_EAA57900.1_74 [protein=hypothetical protein] [protein_id=EAA57900.1] [location=join(195824..196017,196075..197260)] [gbkey=CDS]",0.39111111111111113
"lcl|CH236927.1_cds_EAA57901.1_75 [protein=hypothetical protein] [protein_id=EAA57901.1] [location=complement(join(197929..198816,198872..199042))] [gbkey=CDS]",0.43641618497109824
lcl|CH236927.1_cds_EAA57902.1_76 [protein=hypothetical protein] [protein_id=EAA57902.1] [location=199604..201463] [gbkey=CDS],0.41946308724832215
"lcl|CH236927.1_cds_EAA57903.1_77 [protein=hypothetical protein] [protein_id=EAA57903.1] [location=complement(join(202261..202547,202604..203320,203557..203758,203852..203881))] [gbkey=CDS]",0.6992481203007519
"lcl|CH236927.1_cds_EAA57904.1_78 [protein=hypothetical protein] [protein_id=EAA57904.1] [location=join(204199..205033,205113..205204)] [gbkey=CDS]",0.4152823920265781
"lcl|CH236927.1_cds_EAA57905.1_79 [protein=hypothetical protein] [protein_id=EAA57905.1] [location=join(208952..209744,209873..210112,210144..210175)] [gbkey=CDS]",0.4
"lcl|CH236927.1_cds_EAA57906.1_80 [protein=conserved hypothetical protein] [protein_id=EAA57906.1] [location=complement(join(211345..211379,212067..212401,212464..212537,213166..213186))] [gbkey=CDS]",0.5306122448979592
"lcl|CH236927.1_cds_EAA57907.1_81 [protein=hypothetical protein] [protein_id=EAA57907.1] [location=join(213221..213379,213507..213992,214049..214345,214402..215172)] [gbkey=CDS]",0.4553734061930783
"lcl|CH236927.1_cds_EAA57908.1_82 [protein=hypothetical protein] [protein_id=EAA57908.1] [location=complement(join(215683..216165,216226..216453,216523..217115,217238..217388))] [gbkey=CDS]",0.42643923240938164
"lcl|CH236927.1_cds_EAA57909.1_83 [protein=hypothetical protein] [protein_id=EAA57909.1] [location=join(217849..218200,218267..219006)] [gbkey=CDS]",0.41786743515850144
"lcl|CH236927.1_cds_EAA57910.1_84 [protein=hypothetical protein] [protein_id=EAA57910.1] [location=complement(join(219148..219268,219580..219629,219662..219670,219716..220310,220397..221148))] [gbkey=CDS]",0.38276553106212424
"lcl|CH236927.1_cds_EAA57911.1_85 [protein=hypothetical protein] [protein_id=EAA57911.1] [location=join(223193..224669,224771..224823)] [gbkey=CDS]",0.46804123711340206
"lcl|CH236927.1_cds_EAA57912.1_86 [protein=hypothetical protein] [protein_id=EAA57912.1] [location=complement(join(225009..226102,226151..227360))] [gbkey=CDS]",0.4508748317631225
"lcl|CH236927.1_cds_EAA57913.1_87 [protein=hypothetical protein] [protein_id=EAA57913.1] [location=join(227676..227814,227904..228521,228723..228841)] [gbkey=CDS]",0.42857142857142855
"lcl|CH236927.1_cds_EAA57914.1_88 [protein=hypothetical protein] [protein_id=EAA57914.1] [location=complement(join(229189..229281,229343..230416,230470..231017,231077..231128,231190..231333,231439..231570))] [gbkey=CDS]",0.41122913505311076
"lcl|CH236927.1_cds_EAA57915.1_89 [protein=hypothetical protein] [protein_id=EAA57915.1] [location=join(231944..231971,232020..233713)] [gbkey=CDS]",0.3953900709219858
"lcl|CH236927.1_cds_EAA58105.1_90 [protein=hypothetical protein] [protein_id=EAA58105.1] [location=complement(join(234093..234227,234281..234652,234723..234752))] [gbkey=CDS]",0.5847953216374269
"lcl|CH236927.1_cds_EAA58106.1_91 [protein=hypothetical protein] [protein_id=EAA58106.1] [location=join(237091..237197,237256..239251)] [gbkey=CDS]",0.43446244477172313
lcl|CH236927.1_cds_EAA58107.1_92 [protein=hypothetical protein] [protein_id=EAA58107.1] [location=247298..248728] [gbkey=CDS],0.4344086021505376
"lcl|CH236927.1_cds_EAA58108.1_93 [protein=hypothetical protein] [protein_id=EAA58108.1] [location=complement(join(250866..251282,251348..252325))] [gbkey=CDS]",0.436241610738255
"lcl|CH236927.1_cds_EAA58109.1_94 [protein=hypothetical protein] [protein_id=EAA58109.1] [location=join(253635..253651,253792..254249,254288..254513,254560..254626)] [gbkey=CDS]",0.4268292682926829
lcl|CH236927.1_cds_EAA58110.1_95 [protein=hypothetical protein] [protein_id=EAA58110.1] [location=256815..261368] [gbkey=CDS],0.5804676753782668
"lcl|CH236927.1_cds_EAA58111.1_96 [protein=hypothetical protein] [protein_id=EAA58111.1] [location=complement(join(261826..261914,262308..262476,262659..263204,263273..263461,263752..263969,264047..264137))] [gbkey=CDS]",0.43601895734597157
"lcl|CH236927.1_cds_EAA58112.1_97 [protein=hypothetical protein] [protein_id=EAA58112.1] [location=complement(join(264507..264593,264747..265084,265137..265354,265399..265574,265866..266618))] [gbkey=CDS]",0.41188118811881186
"lcl|CH236927.1_cds_EAA58113.1_98 [protein=hypothetical protein] [protein_id=EAA58113.1] [location=complement(join(268364..268660,268708..268875))] [gbkey=CDS]",0.4
"lcl|CH236927.1_cds_EAA58114.1_99 [protein=hypothetical protein] [protein_id=EAA58114.1] [location=join(269160..269360,269410..272053,272215..272240)] [gbkey=CDS]",0.46375266524520253
"lcl|CH236927.1_cds_EAA58115.1_100 [protein=hypothetical protein] [protein_id=EAA58115.1] [location=complement(join(272448..272509,272591..272858,273064..273675))] [gbkey=CDS]",0.5409836065573771
"lcl|CH236927.1_cds_EAA58116.1_101 [protein=hypothetical protein] [protein_id=EAA58116.1] [location=complement(join(274628..274968,275023..275578,275629..275907,275955..277213,277276..277390))] [gbkey=CDS]",0.4289185905224787
lcl|CH236927.1_cds_EAA58117.1_102 [protein=hypothetical protein] [protein_id=EAA58117.1] [location=284525..285070] [gbkey=CDS],0.49142857142857144
"lcl|CH236927.1_cds_EAA58118.1_103 [protein=hypothetical protein] [protein_id=EAA58118.1] [location=join(286397..286626,286695..289668)] [gbkey=CDS]",0.44313725490196076
lcl|CH236927.1_cds_EAA58119.1_104 [protein=hypothetical protein] [protein_id=EAA58119.1] [location=complement(290627..295339)] [gbkey=CDS],0.41153342070773263
"lcl|CH236927.1_cds_EAA58120.1_105 [protein=hypothetical protein] [protein_id=EAA58120.1] [location=join(296098..296164,296248..296558,296609..296779,296841..298165,298219..298301,298351..298654,298706..298885,298936..299380)] [gbkey=CDS]",0.4279615795090715
"lcl|CH236927.1_cds_EAA58121.1_106 [protein=hypothetical protein] [protein_id=EAA58121.1] [location=join(301242..301356,301413..301657)] [gbkey=CDS]",0.5
"lcl|CH236927.1_cds_EAA58122.1_107 [protein=hypothetical protein] [protein_id=EAA58122.1] [location=complement(join(302359..302643,302704..302754))] [gbkey=CDS]",0.5192307692307693
"lcl|CH236927.1_cds_EAA58123.1_108 [protein=hypothetical protein] [protein_id=EAA58123.1] [location=join(303177..303295,303355..304459)] [gbkey=CDS]",0.47715736040609136
"lcl|CH236927.1_cds_EAA58124.1_109 [protein=hypothetical protein] [protein_id=EAA58124.1] [location=complement(join(304704..305340,305407..305679,305769..305928,305983..306033,306095..306099,306199..306713,306769..307691,308062..308083))] [gbkey=CDS]",0.5029868578255675
"lcl|CH236927.1_cds_EAA58125.1_110 [protein=hypothetical protein] [protein_id=EAA58125.1] [location=join(308616..308758,308815..308933,309043..311063)] [gbkey=CDS]",0.39836289222373805
"lcl|CH236927.1_cds_EAA58126.1_111 [protein=hypothetical protein] [protein_id=EAA58126.1] [location=join(311334..312513,312578..312756)] [gbkey=CDS]",0.43792325056433407
"lcl|CH236927.1_cds_EAA58127.1_112 [protein=hypothetical protein] [protein_id=EAA58127.1] [location=complement(join(313199..314785,314839..315372,315423..316700,316756..317112,317158..319614))] [gbkey=CDS]",0.43316831683168316
"lcl|CH236927.1_cds_EAA58128.1_113 [protein=hypothetical protein] [protein_id=EAA58128.1] [location=join(319845..320055,320111..320733)] [gbkey=CDS]",0.39114391143911437
"lcl|CH236927.1_cds_EAA58129.1_114 [protein=hypothetical protein] [protein_id=EAA58129.1] [location=complement(join(320916..321998,322048..323063,323121..323171,323223..323244))] [gbkey=CDS]",0.3942857142857143
"lcl|CH236927.1_cds_EAA58130.1_115 [protein=hypothetical protein] [protein_id=EAA58130.1] [location=complement(join(323850..324164,324217..324702,324766..325824,325880..325921))] [gbkey=CDS]",0.47603305785123967
"lcl|CH236927.1_cds_EAA58131.1_116 [protein=hypothetical protein] [protein_id=EAA58131.1] [location=join(326217..326497,326563..326648,326706..326870,326918..326994,327059..327634)] [gbkey=CDS]",0.4609375
"lcl|CH236927.1_cds_EAA58132.1_117 [protein=hypothetical protein] [protein_id=EAA58132.1] [location=complement(join(327773..327812,327887..328605,328662..329129,329197..329330,329391..329398,329477..329544,329958..330004,330132..330174))] [gbkey=CDS]",0.36065573770491804
"lcl|CH236927.1_cds_EAA58133.1_118 [protein=hypothetical protein] [protein_id=EAA58133.1] [location=complement(join(330782..331518,331573..331729,331796..331954))] [gbkey=CDS]",0.40869565217391307
"lcl|CH236927.1_cds_EAA58134.1_119 [protein=hypothetical protein] [protein_id=EAA58134.1] [location=join(334070..334409,334463..334850,335266..335357,335441..336627)] [gbkey=CDS]",0.42
"lcl|CH236927.1_cds_EAA58135.1_120 [protein=hypothetical protein] [protein_id=EAA58135.1] [location=join(336926..337166,337242..337721,337770..337927,337981..338026,338079..338457,338530..338643,338845..339427,339483..339731)] [gbkey=CDS]",0.4700139470013947
