seq_id,value
"lcl|EQ966233.1_cds_EED85936.1_1 [locus_tag=POSPLDRAFT_91257] [protein=predicted protein] [protein_id=EED85936.1] [location=join(5935..6007,6095..6372,6430..6592,6626..7251)] [gbkey=CDS]",0.6234567901234568
"lcl|EQ966233.1_cds_EED85937.1_2 [locus_tag=POSPLDRAFT_91261] [protein=predicted protein] [protein_id=EED85937.1] [location=join(17609..17632,17691..19199,19743..19898,20101..20322,20487..20603,20849..21014,21107..21130,21299..21378,21615..21890)] [gbkey=CDS]",0.5588006230529595
"lcl|EQ966233.1_cds_EED86015.1_3 [locus_tag=POSPLDRAFT_91262] [protein=predicted protein] [protein_id=EED86015.1] [location=complement(join(22030..22073,22132..22243,22288..22332,22552..22898,22939..22957,23018..23338))] [gbkey=CDS]",0.5430839002267573
"lcl|EQ966233.1_cds_EED86016.1_4 [locus_tag=POSPLDRAFT_91263] [protein=predicted protein] [protein_id=EED86016.1] [location=complement(join(24741..25553,25611..26564))] [gbkey=CDS]",0.58603066439523
"lcl|EQ966233.1_cds_EED86017.1_5 [locus_tag=POSPLDRAFT_91265] [protein=predicted protein] [protein_id=EED86017.1] [location=complement(join(30038..30377,30659..30765,30823..31776))] [gbkey=CDS]",0.603584229390681
"lcl|EQ966233.1_cds_EED85938.1_6 [locus_tag=POSPLDRAFT_91266] [protein=predicted protein] [protein_id=EED85938.1] [location=join(32166..32224,32285..32538,33495..33931)] [gbkey=CDS]",0.5631720430107527
"lcl|EQ966233.1_cds_EED86018.1_7 [locus_tag=POSPLDRAFT_91268] [protein=predicted protein] [protein_id=EED86018.1] [location=complement(join(39602..40064,40145..40350,40415..40624))] [gbkey=CDS]",0.584192439862543
"lcl|EQ966233.1_cds_EED86019.1_8 [locus_tag=POSPLDRAFT_91269] [protein=predicted protein] [protein_id=EED86019.1] [location=complement(join(42017..42097,42161..42482,42531..42736,42784..42917,42950..43001))] [gbkey=CDS]",0.5564005069708492
"lcl|EQ966233.1_cds_EED85939.1_9 [locus_tag=POSPLDRAFT_91270] [protein=predicted protein] [protein_id=EED85939.1] [location=join(43479..43560,43746..43802,44029..44843)] [gbkey=CDS]",0.6160337552742616
"lcl|EQ966233.1_cds_EED86020.1_10 [locus_tag=POSPLDRAFT_87648] [db_xref=InterPro:IPR001248] [protein=predicted protein] [protein_id=EED86020.1] [location=complement(join(47695..47865,47921..48049,48112..48192,48252..48327,48385..48617,48712..48714,48849..49097,49176..49194,49249..49319,49372..49591,49647..49750,49809..49934))] [gbkey=CDS]",0.5331978319783198
"lcl|EQ966233.1_cds_EED85940.1_11 [locus_tag=POSPLDRAFT_91272] [protein=predicted protein] [protein_id=EED85940.1] [location=join(58299..58530,58591..58929,58981..59154,60261..60310,60364..60623,60677..61211,61309..61411,61551..61804,61867..62325)] [gbkey=CDS]",0.56625
"lcl|EQ966233.1_cds_EED85941.1_12 [locus_tag=POSPLDRAFT_91274] [protein=predicted protein] [protein_id=EED85941.1] [location=join(72283..72616,72709..73322)] [gbkey=CDS]",0.6751592356687898
"lcl|EQ966233.1_cds_EED85942.1_13 [locus_tag=POSPLDRAFT_91276] [db_xref=InterPro:IPR000637] [protein=predicted protein] [protein_id=EED85942.1] [location=join(75009..75061,75175..75211,75333..75368,75472..75894,75927..76913,76967..77423,77650..77765,77891..77910,77939..78014)] [gbkey=CDS]",0.6161891768985903
"lcl|EQ966233.1_cds_EED85943.1_14 [locus_tag=POSPLDRAFT_91282] [protein=predicted protein] [protein_id=EED85943.1] [location=join(99868..100080,100146..100301,100351..100429,100482..100590,100649..100668,100720..100828,100893..101211)] [gbkey=CDS]",0.5495495495495496
"lcl|EQ966233.1_cds_EED85944.1_15 [locus_tag=POSPLDRAFT_91286] [protein=predicted protein] [protein_id=EED85944.1] [location=join(111499..111595,111697..111994,112047..112341,112442..112624)] [gbkey=CDS]",0.5836216839677048
"lcl|EQ966233.1_cds_EED86021.1_16 [locus_tag=POSPLDRAFT_91287] [protein=predicted protein] [protein_id=EED86021.1] [location=complement(join(112784..113193,113242..114133,114345..114407))] [gbkey=CDS]",0.5717439293598234
"lcl|EQ966233.1_cds_EED85945.1_18 [locus_tag=POSPLDRAFT_91294] [protein=predicted protein] [protein_id=EED85945.1] [location=join(135724..135789,135843..136128,136208..136289,136486..137518,137548..137574)] [gbkey=CDS]",0.5880376344086021
"lcl|EQ966233.1_cds_EED85946.1_19 [locus_tag=POSPLDRAFT_87655] [db_xref=InterPro:IPR007533] [protein=cytochrome oxidase assembly factor] [protein_id=EED85946.1] [location=join(139535..139552,139609..139926,139979..140145,140200..140320)] [gbkey=CDS]",0.529126213592233
lcl|EQ966233.1_cds_EED86022.1_20 [locus_tag=POSPLDRAFT_91297] [protein=predicted protein] [protein_id=EED86022.1] [location=complement(144491..146098)] [gbkey=CDS],0.5942571785268415
"lcl|EQ966233.1_cds_EED86023.1_21 [locus_tag=POSPLDRAFT_91298] [protein=predicted protein] [protein_id=EED86023.1] [location=complement(join(147193..148797,148876..148964,149218..149317))] [gbkey=CDS]",0.5447427293064877
"lcl|EQ966233.1_cds_EED85947.1_22 [locus_tag=POSPLDRAFT_91303] [protein=predicted protein] [protein_id=EED85947.1] [location=join(170275..170298,170665..170759,170815..171083,171303..171436,171493..171664,171714..171949)] [gbkey=CDS]",0.41883116883116883
"lcl|EQ966233.1_cds_EED85948.1_23 [locus_tag=POSPLDRAFT_91305] [protein=predicted protein] [protein_id=EED85948.1] [location=join(219637..219898,220100..220302)] [gbkey=CDS]",0.599128540305011
lcl|EQ966233.1_cds_EED86024.1_24 [locus_tag=POSPLDRAFT_91307] [protein=predicted protein] [protein_id=EED86024.1] [location=complement(227589..228212)] [gbkey=CDS],0.6634304207119741
"lcl|EQ966233.1_cds_EED85949.1_25 [locus_tag=POSPLDRAFT_91308] [protein=predicted protein] [protein_id=EED85949.1] [location=join(229830..229854,230024..230207,230263..230292,230352..230482,230665..230792)] [gbkey=CDS]",0.5223577235772358
"lcl|EQ966233.1_cds_EED86025.1_26 [locus_tag=POSPLDRAFT_91309] [protein=predicted protein] [protein_id=EED86025.1] [location=complement(join(232623..232652,232695..232850,233135..233362,233394..233546))] [gbkey=CDS]",0.5811051693404634
