seq_id,value
"lcl|CH236927.1_cds_EAA57827.1_1 [protein=hypothetical protein] [protein_id=EAA57827.1] [location=complement(join(7633..8567,8623..8941,8989..9067,9109..9140))] [gbkey=CDS]",0.21249362074004496
"lcl|CH236927.1_cds_EAA57828.1_2 [protein=hypothetical protein] [protein_id=EAA57828.1] [location=complement(join(10249..10694,10809..10862,11084..11090))] [gbkey=CDS]",0.22734428888111605
"lcl|CH236927.1_cds_EAA57829.1_3 [protein=hypothetical protein] [protein_id=EAA57829.1] [location=complement(join(11962..12140,12203..12627,12795..12955,13008..13061))] [gbkey=CDS]",0.23208809309652853
"lcl|CH236927.1_cds_EAA57830.1_4 [protein=hypothetical protein] [protein_id=EAA57830.1] [location=join(13648..13664,13726..13805,13863..13927,13981..14183,14239..14518,14598..14606)] [gbkey=CDS]",0.22191726506078144
"lcl|CH236927.1_cds_EAA57831.1_5 [protein=hypothetical protein] [protein_id=EAA57831.1] [location=complement(join(14724..14978,15116..15189,15514..15712))] [gbkey=CDS]",0.23520983427089553
"lcl|CH236927.1_cds_EAA57832.1_6 [protein=hypothetical protein] [protein_id=EAA57832.1] [location=join(16436..16517,16587..16600,16659..16715,16774..17430)] [gbkey=CDS]",0.22404654293886453
"lcl|CH236927.1_cds_EAA57833.1_7 [protein=hypothetical protein] [protein_id=EAA57833.1] [location=complement(join(17814..18068,18125..18574,18627..18762,18812..18918,18969..19070,19121..19252,19304..20296,20351..20401))] [gbkey=CDS]",0.22256116398298995
"lcl|CH236927.1_cds_EAA57834.1_8 [protein=hypothetical protein] [protein_id=EAA57834.1] [location=join(21642..21832,21883..22261,22307..22741,22796..23155,23206..23241,23291..23390,23496..23526,23629..23681,23733..23776,23933..24074,24129..24364)] [gbkey=CDS]",0.2288995367421852
"lcl|CH236927.1_cds_EAA57835.1_9 [protein=hypothetical protein] [protein_id=EAA57835.1] [location=join(25116..25342,25421..25841)] [gbkey=CDS]",0.23272262848505862
"lcl|CH236927.1_cds_EAA57836.1_10 [protein=hypothetical protein] [protein_id=EAA57836.1] [location=complement(join(26399..26436,26571..27545,27604..27933,28087..28156,28203..28509,28636..28820))] [gbkey=CDS]",0.21475630579587748
"lcl|CH236927.1_cds_EAA57837.1_11 [protein=hypothetical protein] [protein_id=EAA57837.1] [location=complement(join(29375..29520,29574..29618,29674..29857))] [gbkey=CDS]",0.23829506846025472
"lcl|CH236927.1_cds_EAA57838.1_12 [protein=hypothetical protein] [protein_id=EAA57838.1] [location=join(30234..30378,30434..30652,30764..30772,30851..31140,31199..31304,31350..31575,31626..32024,32322..32333,32483..32779,32893..33010,33077..33166,33213..33338)] [gbkey=CDS]",0.21800358402780567
