seq_id	ENC	CAI	FOP	GC	GC3s	tAI
lcl|CH236927.1_cds_EAA57827.1_1 [protein=hypothetical protein] [protein_id=EAA57827.1] [location=complement(join(7633..8567,8623..8941,8989..9067,9109..9140))] [gbkey=CDS]	57.26442315417801	0.792298198972987	0.32516703786191536	0.48050036791758644	0.41202672605790647	0.21249362074004496
lcl|CH236927.1_cds_EAA57828.1_2 [protein=hypothetical protein] [protein_id=EAA57828.1] [location=complement(join(10249..10694,10809..10862,11084..11090))] [gbkey=CDS]	52.598810842701106	0.8278643083464958	0.425	0.49500998003992014	0.50625	0.22734428888111605
lcl|CH236927.1_cds_EAA57829.1_3 [protein=hypothetical protein] [protein_id=EAA57829.1] [location=complement(join(11962..12140,12203..12627,12795..12955,13008..13061))] [gbkey=CDS]	56.31774066844087	0.8010620796595408	0.3609022556390977	0.5006150061500615	0.45112781954887216	0.23208809309652853
lcl|CH236927.1_cds_EAA57830.1_4 [protein=hypothetical protein] [protein_id=EAA57830.1] [location=join(13648..13664,13726..13805,13863..13927,13981..14183,14239..14518,14598..14606)] [gbkey=CDS]	53.97188397986538	0.8151341106768333	0.4413145539906103	0.5262345679012346	0.5211267605633803	0.22191726506078144
lcl|CH236927.1_cds_EAA57831.1_5 [protein=hypothetical protein] [protein_id=EAA57831.1] [location=complement(join(14724..14978,15116..15189,15514..15712))] [gbkey=CDS]	55.280081555445285	0.8216262524448144	0.4152046783625731	0.4674329501915709	0.4853801169590643	0.23520983427089553
lcl|CH236927.1_cds_EAA57832.1_6 [protein=hypothetical protein] [protein_id=EAA57832.1] [location=join(16436..16517,16587..16600,16659..16715,16774..17430)] [gbkey=CDS]	56.44189017640582	0.8273527420844768	0.4046692607003891	0.5323383084577115	0.48638132295719844	0.22404654293886453
lcl|CH236927.1_cds_EAA57833.1_7 [protein=hypothetical protein] [protein_id=EAA57833.1] [location=complement(join(17814..18068,18125..18574,18627..18762,18812..18918,18969..19070,19121..19252,19304..20296,20351..20401))] [gbkey=CDS]	57.19462768295208	0.8055945209730178	0.40559440559440557	0.45990990990990993	0.48951048951048953	0.22256116398298995
lcl|CH236927.1_cds_EAA57834.1_8 [protein=hypothetical protein] [protein_id=EAA57834.1] [location=join(21642..21832,21883..22261,22307..22741,22796..23155,23206..23241,23291..23390,23496..23526,23629..23681,23733..23776,23933..24074,24129..24364)] [gbkey=CDS]	57.274217359157426	0.8314310539761413	0.42724458204334365	0.5142428785607196	0.4907120743034056	0.2288995367421852
lcl|CH236927.1_cds_EAA57835.1_9 [protein=hypothetical protein] [protein_id=EAA57835.1] [location=join(25116..25342,25421..25841)] [gbkey=CDS]	54.34440256593475	0.816883596925447	0.391304347826087	0.48286604361370716	0.5169082125603864	0.23272262848505862
lcl|CH236927.1_cds_EAA57836.1_10 [protein=hypothetical protein] [protein_id=EAA57836.1] [location=complement(join(26399..26436,26571..27545,27604..27933,28087..28156,28203..28509,28636..28820))] [gbkey=CDS]	56.21268969331568	0.7918178871373532	0.33001658374792703	0.4681411269088994	0.4096185737976783	0.21475630579587748
lcl|CH236927.1_cds_EAA57837.1_11 [protein=hypothetical protein] [protein_id=EAA57837.1] [location=complement(join(29375..29520,29574..29618,29674..29857))] [gbkey=CDS]	52.33989617574673	0.8284919142925212	0.4380165289256198	0.4796747967479675	0.45454545454545453	0.23829506846025472
lcl|CH236927.1_cds_EAA57838.1_12 [protein=hypothetical protein] [protein_id=EAA57838.1] [location=join(30234..30378,30434..30652,30764..30772,30851..31140,31199..31304,31350..31575,31626..32024,32322..32333,32483..32779,32893..33010,33077..33166,33213..33338)] [gbkey=CDS]	57.19861087384046	0.8056315398628408	0.36818181818181817	0.49876907927129494	0.49242424242424243	0.21800358402780567
lcl|CH236927.1_cds_EAA57839.1_13 [protein=hypothetical protein] [protein_id=EAA57839.1] [location=complement(join(33732..33872,33930..34074,34117..34213,34272..34649,34720..34807,34860..34970,35141..35143))] [gbkey=CDS]	48.28592714986583	0.8738462334923831	0.580441640378549	0.5360501567398119	0.5772870662460567	0.23659906379826087
lcl|CH236927.1_cds_EAA57840.1_14 [protein=hypothetical protein] [protein_id=EAA57840.1] [location=complement(join(36309..36486,36561..36814,36847..36941,37035..37086))] [gbkey=CDS]	47.994767918816684	0.8665719574372783	0.6021505376344086	0.5549738219895288	0.6075268817204301	0.25214140685832703
lcl|CH236927.1_cds_EAA57841.1_15 [protein=hypothetical protein] [protein_id=EAA57841.1] [location=complement(join(38470..39132,39187..39562,39614..39633))] [gbkey=CDS]	56.07276943721753	0.8071943373851695	0.3590504451038576	0.5365622032288699	0.44807121661721067	0.22049690312913828
lcl|CH236927.1_cds_EAA57842.1_16 [protein=hypothetical protein] [protein_id=EAA57842.1] [location=join(39994..40020,40079..40125,40187..40215,40716..40727,41068..41388,41455..42005)] [gbkey=CDS]	54.15084871380476	0.8339111626629232	0.48253968253968255	0.5168195718654435	0.5873015873015873	0.2224035087493032
lcl|CH236927.1_cds_EAA57843.1_17 [protein=hypothetical protein] [protein_id=EAA57843.1] [location=complement(join(42371..42709,42772..42945,43009..43062,43115..43921))] [gbkey=CDS]	55.203786486491936	0.8564903358903716	0.49443207126948774	0.5402046783625731	0.5723830734966593	0.23358508488100815
lcl|CH236927.1_cds_EAA57844.1_18 [protein=predicted protein] [protein_id=EAA57844.1] [location=join(47928..47977,48293..48473,48637..48682,48878..48903,49057..49092)] [gbkey=CDS]	53.48014637916523	0.8421048767538658	0.5	0.4864864864864865	0.5545454545454546	0.22545987397807368
lcl|CH236927.1_cds_EAA57845.1_19 [protein=hypothetical protein] [protein_id=EAA57845.1] [location=complement(join(50005..50029,50101..50176,50236..50368,50421..50888,50945..51474,51692..51864,51926..52007,52133..52253))] [gbkey=CDS]	53.595387827017746	0.8502424661519663	0.5243664717348928	0.5580524344569289	0.5730994152046783	0.23824133897554117
lcl|CH236927.1_cds_EAA57846.1_20 [protein=hypothetical protein] [protein_id=EAA57846.1] [location=join(52850..53118,53186..53975)] [gbkey=CDS]	52.62172763704036	0.8619427925696789	0.5391566265060241	0.4862298195631529	0.5813253012048193	0.23135525688561692
